cellosaurus_id,cell_line_name,tissue
CVCL_1484,NCI-H1651,Lung
CVCL_1485,NCI-H1666,Lung
CVCL_1488,NCI-H1693,Lung
CVCL_1489,NCI-H1694,Lung
CVCL_1490,NCI-H1703,Lung
CVCL_1495,NCI-H1792,Lung
CVCL_1496,NCI-H1793,Lung
CVCL_1500,NCI-H1869,Lung
CVCL_1505,NCI-H1915,Lung
CVCL_1508,NCI-H1944,Lung
CVCL_1511,NCI-H1975,Lung
CVCL_1514,NCI-H2009,Lung
CVCL_1515,NCI-H2023,Lung
CVCL_1517,NCI-H2030,Lung
CVCL_1518,NCI-H2052,Lung
CVCL_1523,NCI-H2085,Lung
CVCL_1524,NCI-H2087,Lung
CVCL_1529,NCI-H211,Lung
CVCL_1531,NCI-H2122,Lung
CVCL_1535,NCI-H2170,Lung
CVCL_1537,NCI-H2172,Lung
CVCL_1543,NCI-H2228,Lung
CVCL_1544,NCI-H226,Lung
CVCL_1545,NCI-H2286,Lung
CVCL_1547,NCI-H23,Lung
CVCL_1552,NCI-H2444,Lung
CVCL_1553,NCI-H2452,Lung
CVCL_1555,NCI-H28,Lung
CVCL_1556,NCI-H322,Lung
CVCL_1559,NCI-H358,Lung
CVCL_1561,NCI-H441,Lung
CVCL_1566,NCI-H520,Lung
CVCL_1567,NCI-H522,Lung
CVCL_1574,NCI-H647,Lung
CVCL_1575,NCI-H650,Lung
CVCL_1577,NCI-H661,Lung
CVCL_1584,NCI-H727,Lung
CVCL_1587,NCI-H747,Colon
CVCL_1590,NCI-H810,Lung
CVCL_1603,NCI-N87,Stomach
CVCL_1612,NUGC-3,Stomach
CVCL_1616,OC 314,Ovary
CVCL_1617,OC 315,Ovary
CVCL_1618,OC 316,Ovary
CVCL_1619,OCI-AML-2,Blood
CVCL_1620,OCI-AML-5,Blood
CVCL_1624,ONS-76,Brain
CVCL_1625,OPM-2,Blood
CVCL_1627,OVCAR-4,Ovary
CVCL_1629,OVCAR-8,Ovary
CVCL_1630,P12-Ichikawa,Blood
CVCL_1632,P31/FUJ,Blood
CVCL_1633,Panc 02.03,Pancreas
CVCL_1635,Panc 03.27,Pancreas
CVCL_1636,Panc 04.03,Pancreas
CVCL_1639,Panc 10.05,Pancreas
CVCL_1640,PC-14,Lung
CVCL_1644,PSN1,Pancreas
CVCL_1649,RD,Muscle
CVCL_1650,Reh,Blood
CVCL_1655,RERF-LC-MS,Lung
CVCL_1661,ZR-75-30,Breast
CVCL_1666,RPMI-7951,Skin
CVCL_1667,RPMI-8402,Blood
CVCL_1670,RT-112,Bladder
CVCL_1672,RVH-421,Skin
CVCL_1679,SBC-5,Lung
CVCL_1682,SCC-25,Head And Neck
CVCL_1685,SCC-9,Head And Neck
CVCL_1688,SF126,Brain
CVCL_1690,SF295,Brain
CVCL_1693,SHP-77,Lung
CVCL_1694,SIG-M5,Blood
CVCL_1695,SiMa,Nervous System
CVCL_1697,SJSA-1,Bone
CVCL_1699,SK-MM-2,Blood
CVCL_1700,SK-N-AS,Nervous System
CVCL_1701,SK-N-DZ,Nervous System
CVCL_1702,SK-N-FI,Nervous System
CVCL_1707,SNG-M,Uterus
CVCL_1709,SNU-C2A,Colon
CVCL_1710,SNU-C2B,Colon
CVCL_1714,SUP-T1,Blood
CVCL_1715,SW1088,Brain
CVCL_1716,SW1271,Lung
CVCL_1717,SW1417,Colon
CVCL_1720,SW1573,Lung
CVCL_1723,SW1990,Pancreas
CVCL_1724,SW48,Colon
CVCL_1728,SW780,Bladder
CVCL_1731,SW900,Lung
CVCL_1738,TCCSUP,Bladder
CVCL_1755,TE 617.T,Muscle
CVCL_1759,TE-1,Esophagus
CVCL_1761,TE-11,Esophagus
CVCL_1763,TE-15,Esophagus
CVCL_1764,TE-5,Esophagus
CVCL_1767,TE-9,Esophagus
CVCL_1776,TYK-nu,Ovary
CVCL_1779,UACC-257,Skin
CVCL_1780,UACC-62,Skin
CVCL_1781,UACC-812,Breast
CVCL_1783,UM-UC-3,Bladder
CVCL_1787,VMRC-LCD,Lung
CVCL_1790,VMRC-RCW,Kidney
CVCL_1791,VMRC-RCZ,Kidney
CVCL_1796,YKG-1,Brain
CVCL_1798,42-MG-BA,Brain
CVCL_1805,ALL-SIL,Blood
CVCL_1806,AMO1,Blood
CVCL_1809,CAL-78,Bone
CVCL_1818,Granta-519,Lymph
CVCL_1823,Karpas-620,Blood
CVCL_1845,PaTu 8902,Pancreas
CVCL_1861,Ci-1,Lymph
CVCL_1862,COLO 677,Blood
CVCL_1870,MEC-1,Lymph
CVCL_1872,Mino,Lymph
CVCL_1882,ONCO-DG-1,Ovary
CVCL_1889,SU-DHL-10,Lymph
CVCL_1987,COLO 201,Colon
CVCL_1989,COLO 320,Colon
CVCL_1992,COLO 699,Lung
CVCL_2027,EB1,Lymph
CVCL_2034,EN,Uterus
CVCL_2037,F-36P,Blood
CVCL_2047,FU-OV-1,Ovary
CVCL_2057,HCC15,Lung
CVCL_2060,HCC44,Lung
CVCL_2061,HCC78,Lung
CVCL_2063,HCC827,Lung
CVCL_2067,HDQ-P1,Breast
CVCL_2075,IGR-37,Skin
CVCL_2076,IGR-39,Skin
CVCL_2081,JMSU-1,Bladder
CVCL_2090,KCI-MOH1,Pancreas
CVCL_2091,KCL-22,Blood
CVCL_2092,Kelly,Nervous System
CVCL_2104,LOU-NH91,Lung
CVCL_2112,MFE-319,Uterus
CVCL_2124,MOLP-8,Blood
CVCL_2206,SU-DHL-6,Lymph
CVCL_2207,SU-DHL-8,Lymph
CVCL_2209,SUP-M2,Lymph
CVCL_2213,TC-71,Bone
CVCL_2218,TT2609-C02,Thyroid
CVCL_2419,COV318,Ovary
CVCL_2424,COV504,Ovary
CVCL_2481,HEL 92.1.7,Blood
CVCL_2582,LUDLU-1,Lung
CVCL_2613,MOG-G-CCM,Brain
CVCL_2620,MOR/CPR,Lung
CVCL_2661,OE21,Esophagus
CVCL_2676,P3HR-1,Lymph
CVCL_2765,WM266-4,Skin
CVCL_2786,JHH-2,Liver
CVCL_2787,JHH-4,Liver
CVCL_2788,JHH-6,Liver
CVCL_2791,MKN74,Stomach
CVCL_2798,KNS-60,Brain
CVCL_2799,KNS-81,Brain
CVCL_2804,CMK-86,Blood
CVCL_2805,JHH-7,Liver
CVCL_2862,AZ-521,Small Intestine
CVCL_2873,CCK-81,Colon
CVCL_2891,EBC-1,Lung
CVCL_2908,Fu97,Stomach
CVCL_2914,HARA [Human squamous cell lung carcinoma],Lung
CVCL_2917,HCC-56,Colon
CVCL_2925,HEC-151,Uterus
CVCL_2927,HEC-251,Uterus
CVCL_2928,HEC-265,Uterus
CVCL_2930,HEC-59,Uterus
CVCL_2931,HEC-6,Uterus
CVCL_2947,HLF,Liver
CVCL_2949,HMC-1-8,Breast
CVCL_2956,HuH-1,Liver
CVCL_2961,IM95,Stomach
CVCL_2972,KHM-1B,Blood
CVCL_2977,KMBC-2,Bladder
CVCL_2981,KMM-1,Blood
CVCL_2983,KMRC-1,Kidney
CVCL_2984,KMRC-2,Kidney
CVCL_2989,KMS-11,Blood
CVCL_2992,KMS-26,Blood
CVCL_2996,KMS-34,Blood
CVCL_3002,KP-1N,Pancreas
CVCL_3003,KP-1NL,Pancreas
CVCL_3004,KP-2,Pancreas
CVCL_3005,KP-3,Pancreas
CVCL_3007,KYM-1,Muscle
CVCL_3015,Lu-99,Lung
CVCL_3020,MCAS,Ovary
CVCL_3043,NCO2,Blood
CVCL_3082,NUGC-4,Stomach
CVCL_3084,OCUM-1,Stomach
CVCL_3111,OVMANA,Ovary
CVCL_3114,OVSAHO,Ovary
CVCL_3117,OVTOKO,Ovary
CVCL_3143,QGP-1,Pancreas
CVCL_3152,RERF-GC-1B,Stomach
CVCL_3156,RKN,Soft Tissue
CVCL_3172,SUIT-2,Pancreas
CVCL_3317,HMCB,Skin
CVCL_3326,Pfeiffer,Lymph
CVCL_3360,BGC-823,Stomach
CVCL_3371,GLC-82,Lung
CVCL_3385,KE-39,Stomach
CVCL_3386,KE-97,Blood
CVCL_3509,ES-2,Ovary
CVCL_3517,HPAC,Pancreas
CVCL_3532,JM-1,Blood
CVCL_3567,PL45,Pancreas
CVCL_3599,SCaBER,Bladder
CVCL_3603,SW579,Thyroid
CVCL_3611,Toledo,Lymph
CVCL_3612,TOV-112D,Ovary
CVCL_3613,TOV-21G,Ovary
CVCL_3768,OV-90,Ovary
CVCL_3881,SU.86.86,Pancreas
CVCL_4402,RERF-LC-A1,Lung
CVCL_4613,BDCM,Blood
CVCL_4647,JHOS-2,Ovary
CVCL_4649,JHOS-4,Ovary
CVCL_4656,JHUEM-2,Uterus
CVCL_4717,PK-1,Pancreas
CVCL_4897,PK-59,Pancreas
CVCL_4900,Sq-1,Lung
CVCL_5167,SH-10-TC,Stomach
CVCL_5480,LC-1/sq-SF,Lung
CVCL_6543,Ishikawa (Heraklio) 02 ER-,Uterus
CVCL_6748,PK-45H,Pancreas
