dataset,kind,r
depmap,across,0.9591884313437127
depmap,across,0.9737370706688724
depmap,across,0.8820433286699259
depmap,across,0.9608344550588402
depmap,across,0.9193233753290296
depmap,across,0.9362860355865347
depmap,across,0.9639548859328477
depmap,across,0.7876563119765896
depmap,across,0.8010577068626278
depmap,across,0.9589283893957475
depmap,across,0.9672384049914139
depmap,across,0.8350060061624697
depmap,across,0.9275919470449064
depmap,across,0.9507127549381938
depmap,across,0.8934598095196057
depmap,across,0.9137311998581834
depmap,across,0.9349695409999103
depmap,across,0.9495743710016122
depmap,across,0.8622691878472282
depmap,across,0.8951002433458014
depmap,across,0.9405792988528233
depmap,across,0.8726495392071155
depmap,across,0.8884363147396488
depmap,across,0.9194113707260236
depmap,across,0.8185322306018571
depmap,across,0.8743112837960765
depmap,across,0.9147843228693479
depmap,across,0.9344138153727692
depmap,across,0.8550967077456186
depmap,across,0.8582159187703673
depmap,across,0.9216377090251822
depmap,across,0.8526878745030013
depmap,across,0.9343157102666956
depmap,across,0.8962315893932364
depmap,across,0.8470784488807948
depmap,across,0.8998855002500296
depmap,across,0.9614098606416278
depmap,across,0.902679122652572
depmap,across,0.9169916969723046
depmap,across,0.9409484334864424
depmap,across,0.8584494459147619
depmap,across,0.913917305745459
depmap,across,0.9720918765747162
depmap,across,0.8538547989748875
depmap,across,0.8895772750274472
depmap,across,0.8719056812276124
depmap,across,0.9086957742301656
depmap,across,0.9457615852096672
depmap,across,0.8147452250203046
depmap,across,0.8229767532848179
depmap,across,0.9332301216841632
depmap,across,0.9572454814363361
depmap,across,0.8129203825906968
depmap,across,0.8688183550927542
depmap,across,0.9235830878582658
depmap,across,0.8594566236655434
depmap,across,0.8743655230726696
depmap,across,0.8720720330826198
depmap,across,0.9335238789441098
depmap,across,0.9008891148560959
depmap,across,0.9415368137844075
depmap,across,0.964528553442049
depmap,across,0.8845374915766259
depmap,across,0.9102557095370183
depmap,across,0.8965745268641849
depmap,across,0.9282704737957519
depmap,across,0.9637829733299059
depmap,across,0.8147065575213384
depmap,across,0.8214454514647638
depmap,across,0.9512859374093419
depmap,across,0.943989033094547
depmap,across,0.8551731131745033
depmap,across,0.8945942827951138
depmap,across,0.9443974810530852
depmap,across,0.8877097450760028
depmap,across,0.9082396168150605
depmap,across,0.8969223343757902
depmap,across,0.9474503202503883
depmap,across,0.8913018211118676
depmap,across,0.9013528631158181
depmap,across,0.9500126036922546
depmap,across,0.863167890606141
depmap,across,0.9371429310582836
depmap,across,0.9464177018287434
depmap,across,0.9398230534596809
depmap,across,0.7902246411172841
depmap,across,0.8045491489288737
depmap,across,0.9441753013242914
depmap,across,0.8924664590131085
depmap,across,0.9029292876102267
depmap,across,0.9550247837386575
depmap,across,0.8623476055975583
depmap,across,0.9381431953722065
depmap,across,0.9763157694341945
depmap,across,0.9579979060867388
depmap,across,0.9323108902348792
depmap,across,0.9575593392246955
depmap,across,0.8786009429220483
depmap,across,0.9562886905465977
depmap,across,0.8967173862734605
depmap,across,0.9124937336995774
