dataset,sample_id,tissue,PC1,PC2
depmap,ACH-000471,Liver,10.628792650599589,-4.315137804818914
depmap,ACH-000472,Head and Neck,3.444349304183155,22.310988501353425
depmap,ACH-000473,Bladder/Urinary Tract,13.228364905903183,8.504066645565707
depmap,ACH-000475,Liver,1.4056191260932376,6.116951175516673
depmap,ACH-000476,Liver,9.796412180377645,-2.050688007321196
depmap,ACH-000477,Skin,9.188849176056367,-11.994874643654175
depmap,ACH-000478,Liver,19.030441490823502,-10.990160382781635
depmap,ACH-000479,CNS/Brain,16.924995011075623,-18.01059861270603
depmap,ACH-000480,Liver,2.013698967889227,-5.918051873314232
depmap,ACH-000481,Lung,-4.293012619145149,7.4320224646161615
depmap,ACH-000483,Liver,13.443882955042715,-9.864994776982813
depmap,ACH-000484,Kidney,12.245268025198618,3.837141524399766
depmap,ACH-000485,Esophagus/Stomach,-1.4843424372845033,21.587428944651784
depmap,ACH-000486,Bladder/Urinary Tract,9.378056534316684,5.311728628792786
depmap,ACH-000487,Myeloid,-24.67790392804615,0.7830876199726987
depmap,ACH-000488,Esophagus/Stomach,10.19318362999617,15.429757799367781
depmap,ACH-000489,Bowel,-2.865167409514798,22.462107688170935
depmap,ACH-000490,Cervix,3.824456115955097,13.056256079475459
depmap,ACH-000491,Bowel,-5.3406952192253705,-6.482886354691776
depmap,ACH-000493,Liver,15.802728402034282,-13.016567988873918
depmap,ACH-000495,Kidney,17.54799032103574,-2.3841038013483455
depmap,ACH-000496,Lung,13.278276457427296,-11.332228178107197
depmap,ACH-000498,Myeloid,-30.98769814806295,-3.075962320519717
depmap,ACH-000499,Bone,-15.150492569571162,-9.875508173158698
depmap,ACH-000500,Head and Neck,12.558739000656034,-5.412878314970783
depmap,ACH-000501,Bowel,6.823288874098109,14.014529042317456
depmap,ACH-000502,Pancreas,7.373387386247544,8.248442770380793
depmap,ACH-000503,Head and Neck,8.862374924896358,18.28222795057832
depmap,ACH-000504,CNS/Brain,20.756219701374068,-18.187857586751026
depmap,ACH-000505,Soft Tissue,12.95142267708384,-11.055070320763384
depmap,ACH-000507,Esophagus/Stomach,1.8919443404121177,13.000102655678095
depmap,ACH-000510,Lung,-0.8073388289381738,-9.167107660603254
depmap,ACH-000511,Lung,18.229867552004166,-11.391249292099685
depmap,ACH-000512,Lymphoid,-31.12462837306622,-0.019111983391003447
depmap,ACH-000514,Lung,-16.430197796814213,-17.763386546260737
depmap,ACH-000515,Lung,-14.417003656806687,-16.630476091607935
depmap,ACH-000516,Bone,17.197503779368336,-20.384139200991502
depmap,ACH-000517,Pancreas,6.771603172228655,2.892917453498906
depmap,ACH-000518,Head and Neck,15.51274559919381,15.517361057720304
depmap,ACH-000519,Lymphoid,-31.53181910303934,-10.473799316601825
depmap,ACH-000520,Ovary/Fallopian Tube,11.330379720691056,-4.9454565011930915
depmap,ACH-000521,Lung,11.707180966088153,-7.4990102605042805
depmap,ACH-000522,Bladder/Urinary Tract,4.93007522030959,-13.771407596887887
depmap,ACH-000524,Ovary/Fallopian Tube,3.5084757412819636,2.6508096388356264
depmap,ACH-000525,Lung,-16.523094399753976,-12.647724990374728
depmap,ACH-000527,Ovary/Fallopian Tube,6.578921334600876,13.844546880710173
depmap,ACH-000528,Lung,5.864298751023525,3.9313288907282096
depmap,ACH-000532,Bowel,-7.723524502469357,21.28831454965292
depmap,ACH-000533,Kidney,-1.5872822235014246,-6.930836591832075
depmap,ACH-000535,Pancreas,14.446626479172396,15.090308511590433
depmap,ACH-000537,Liver,13.588547426197833,4.117633437645858
depmap,ACH-000541,Lymphoid,-26.043326077109096,-5.03937576322738
depmap,ACH-000542,Ovary/Fallopian Tube,4.626754727871451,-3.0760769167303565
depmap,ACH-000544,Esophagus/Stomach,-3.6840608319997306,24.694708891038232
depmap,ACH-000545,Bladder/Urinary Tract,13.225735655695209,11.540690993547559
depmap,ACH-000546,Head and Neck,10.382423218274104,15.173692114450825
depmap,ACH-000547,Bladder/Urinary Tract,11.57723500640904,6.3415998296311376
depmap,ACH-000548,Head and Neck,18.678226089156514,13.538288494122117
depmap,ACH-000549,Head and Neck,12.813381971639476,20.430040077560374
depmap,ACH-000550,Skin,13.498724217662259,-13.004204214324897
depmap,ACH-000551,Myeloid,-20.116963998404902,-4.94146504199121
depmap,ACH-000552,Bowel,-2.436524387103568,12.117131243692285
depmap,ACH-000554,Breast,1.7926520512097504,10.001212142517671
depmap,ACH-000556,Cervix,10.621127410160716,-4.508099660428376
depmap,ACH-000557,Myeloid,-25.017402714364103,-5.066401053776551
depmap,ACH-000558,CNS/Brain,15.99240033955996,-18.199422442975525
depmap,ACH-000559,Lung,-14.673462140621835,-14.088304595133856
depmap,ACH-000561,Esophagus/Stomach,4.007625325066566,16.183929965488502
depmap,ACH-000562,Lung,8.092972779109386,10.215269906338436
depmap,ACH-000563,Lung,11.698366358186973,-1.6700010444030005
depmap,ACH-000565,Bowel,2.80715996153675,16.8323905125964
depmap,ACH-000567,Lymphoid,-32.83776965010813,-11.292840234364517
depmap,ACH-000569,Pleura,13.566022441605563,-10.457995487737906
depmap,ACH-000570,CNS/Brain,9.893028042296557,-20.067443807663807
depmap,ACH-000571,CNS/Brain,12.640129581613925,-14.01070756990658
depmap,ACH-000573,Breast,10.614241967900375,-9.97112144665263
depmap,ACH-000576,Lymphoid,-34.25487800158812,5.271467904599762
depmap,ACH-000577,Liver,21.903150157393934,-2.5968544421327455
depmap,ACH-000579,Skin,3.181208028158769,-11.355038140972857
depmap,ACH-000580,Skin,11.432082617216722,-14.795730357421322
depmap,ACH-000581,Esophagus/Stomach,-4.588299528195081,9.754282569849567
depmap,ACH-000583,Lymphoid,-41.857654975086234,-5.546184617306512
depmap,ACH-000584,Ovary/Fallopian Tube,10.13361383790398,2.802294428400385
depmap,ACH-000585,Lung,15.62920728023461,6.564008883874818
depmap,ACH-000587,Lung,11.699053841859046,-2.4048477031780955
depmap,ACH-000588,Lymphoid,-25.540676668479318,-6.961505196189858
depmap,ACH-000589,Lung,2.932591289732559,9.400509241778087
depmap,ACH-000591,CNS/Brain,13.24606460064992,-18.402254521972935
depmap,ACH-000592,CNS/Brain,10.570100042166015,-14.460813961214159
depmap,ACH-000593,Bladder/Urinary Tract,13.639690478394417,0.47961177757404205
