dataset,item,eta2_y,anova_p,n_cells,n_tissues,sig,anova_p_bonf,sig_bonf
depmap,RPL6,0.09894618420143687,0.30971840490947117,276,21,False,1.0,False
depmap,SMG1,0.19077537734855432,0.5414508000368934,276,21,False,1.0,False
depmap,RRM2,0.05366537139473026,0.004025829749104585,1076,29,True,0.8051659498209169,False
depmap,CDK6,0.23963704770186434,9.065591242589804e-37,1076,29,True,1.8131182485179607e-34,True
depmap,VPS25,0.04723734817220875,0.004077384210600277,1076,29,True,0.8154768421200553,False
depmap,SPC24,0.09878324371794377,2.0760782203515233e-08,1076,29,True,4.152156440703047e-06,True
depmap,UMPS,0.2845859929385122,4.443229939444794e-34,1076,29,True,8.886459878889588e-32,True
depmap,TOP2A,0.06676055212352341,0.00020592932997875934,1076,29,True,0.041185865995751865,True
depmap,NHLRC2,0.1122513349554219,3.0267073349085604e-10,1076,29,True,6.053414669817121e-08,True
depmap,SOD1,0.062455525150240526,9.403426181716273e-05,1076,29,True,0.018806852363432547,True
depmap,AK6,0.13551282806396162,1.858074782791144e-17,1075,29,True,3.716149565582288e-15,True
depmap,H2BC15,0.07391946166076051,7.660007669214323e-19,1067,29,True,1.5320015338428645e-16,True
depmap,MARS2,0.05961701924737003,1.7127423370703913e-05,1076,29,True,0.0034254846741407826,True
depmap,RPL13A,0.07784928775531638,0.44665111256903134,276,21,False,1.0,False
depmap,DUT,0.08582415522279495,2.058194702191985e-07,1076,29,True,4.11638940438397e-05,True
depmap,GPX4,0.22599772603522597,1.0631581207422511e-32,1076,29,True,2.1263162414845023e-30,True
depmap,HMGCS1,0.08541681778053371,4.736847382655868e-06,1076,29,True,0.0009473694765311736,True
depmap,UBE2M,0.04806805749638298,0.000741213888166317,1076,29,True,0.1482427776332634,False
depmap,UROD,0.18287662399425933,1.4827763183706336e-26,1076,29,True,2.9655526367412674e-24,True
depmap,RAN,0.07740697790592259,8.470354208187974e-07,1076,29,True,0.00016940708416375948,True
depmap,RIC1,0.09643873409975877,6.683051527148223e-12,1076,29,True,1.3366103054296447e-09,True
depmap,ACTR1A,0.10964230258285443,2.430245929355831e-14,1076,29,True,4.860491858711662e-12,True
depmap,SARS1,0.10644467624776333,2.2584413219546993e-09,1076,29,True,4.5168826439093984e-07,True
depmap,MCL1,0.10153764260198814,3.630784370404251e-18,1076,29,True,7.261568740808502e-16,True
depmap,ELL,0.09671042703513631,5.192528358437995e-14,1076,29,True,1.038505671687599e-11,True
depmap,PSMG4,0.0846985037396718,1.2971229391495313e-07,1076,29,True,2.5942458782990625e-05,True
depmap,YPEL5,0.11424281264912574,3.372395154874652e-12,1076,29,True,6.744790309749304e-10,True
depmap,EIF4A1,0.05995034579471116,6.537629164730073e-05,1076,29,True,0.013075258329460146,True
depmap,RPL12,0.07760302205935846,9.851296679646889e-08,1076,29,True,1.970259335929378e-05,True
depmap,PLK1,0.06296587008319185,3.6792710110391065e-05,1076,29,True,0.0073585420220782126,True
depmap,POLR2L,0.03538389075957133,0.09914039830215739,1076,29,False,1.0,False
depmap,GSPT1,0.13290830732599512,2.1520609036149712e-15,1076,29,True,4.3041218072299424e-13,True
depmap,DONSON,0.030637190299450095,0.14025531421421805,1076,29,False,1.0,False
depmap,ITGAV,0.27826511919253877,3.8798675163849733e-63,1076,29,True,7.759735032769947e-61,True
depmap,TXNL4A,0.03067847444925561,0.08632187950017503,1076,29,False,1.0,False
depmap,MSTO1,0.08380586702166666,4.057257041854591e-09,1076,29,True,8.114514083709182e-07,True
depmap,SNRPB2,0.09241439376861411,1.1140776656616202e-09,1076,29,True,2.2281553313232404e-07,True
depmap,PCNA,0.07318346842123395,5.263356133894489e-06,1076,29,True,0.0010526712267788978,True
depmap,PELO,0.07435684818572114,1.505443739486656e-07,1076,29,True,3.010887478973312e-05,True
depmap,ESPL1,0.06611776319033999,2.651202232072303e-06,1076,29,True,0.0005302404464144606,True
