dataset,gene,eta2_X
depmap,MIA,0.49643553621904996
depmap,MICALL1,0.2025897070607408
depmap,MKI67,0.1400875572589974
depmap,MKNK1,0.15056825898450354
depmap,MLEC,0.19346336936794487
depmap,MLLT11,0.38685422806099856
depmap,MLPH,0.351428637188238
depmap,MMP1,0.17610160923567061
depmap,MMP11,0.11462709228807826
depmap,MMP2,0.41647094669640555
depmap,MMS22L,0.1540935880862059
depmap,MOK,0.2696394752423596
depmap,MPC2,0.16602506581264118
depmap,MPZL1,0.20603629545907814
depmap,MRPL19,0.16225516052312677
depmap,MRPL33,0.223726238199307
depmap,MRPL57,0.12014990845222287
depmap,MRPS16,0.07855938523126353
depmap,MRPS2,0.08053381548904841
depmap,MSH6,0.19391449399021332
depmap,MSRA,0.19079047805764485
depmap,MSTO1,0.1751065689096401
depmap,MTA1,0.21351040679314887
depmap,MTF2,0.22097662947413382
depmap,MTFR1,0.16886733091829786
depmap,MTHFD2,0.24457326065235413
depmap,MUC1,0.2929705104265424
depmap,MVP,0.2791568491098073
depmap,MYBL2,0.19864490041655167
depmap,MYC,0.3601059285640535
depmap,MYCBP,0.12887484552473516
depmap,MYCBP2,0.23775406650365355
depmap,MYH9,0.17073567251974678
depmap,MYL9,0.23063797451076237
depmap,MYLK,0.28365783322005034
depmap,MYO10,0.3556117721095824
depmap,NAA10,0.1024572748203569
depmap,NAPG,0.11151961942615532
depmap,NAT1,0.14611111407444505
depmap,NCAPD2,0.13359456105041426
depmap,NCAPD3,0.2117485253149937
depmap,NCK2,0.11410749156542417
depmap,NCOA3,0.13922587108586607
depmap,NELFB,0.14152926156406667
depmap,NENF,0.13083137052308844
depmap,NET1,0.3186417835668914
depmap,NF2,0.15951343027900655
depmap,NFATC3,0.26409060205956597
depmap,NFATC4,0.17654160355687437
depmap,NFE2L2,0.21669472718664198
depmap,NFIL3,0.08173145935495245
depmap,NFKB2,0.21388033913785
depmap,NFKBIA,0.23471546052093628
depmap,NFKBIB,0.1611300431556511
depmap,NFKBIE,0.1597292841342214
depmap,NHLRC2,0.087385354579621
depmap,NIPSNAP1,0.13469529860925483
depmap,NISCH,0.1771762645086129
depmap,NIT1,0.06717195307693029
depmap,NMNAT1,0.09798426688501936
depmap,NMT1,0.14118011987885337
depmap,NNT,0.1835814715360847
depmap,NOL3,0.2845276267683153
depmap,NOLC1,0.14399746469761923
depmap,NOS3,0.12394369077861722
depmap,NOSIP,0.1194987660040208
depmap,NOTCH1,0.13966640935327973
depmap,NPC1,0.21080951702003592
depmap,NPDC1,0.2627227333143778
depmap,NPEPL1,0.1795741607199872
depmap,NPM1,0.12060517589120129
depmap,NPRL2,0.2894208801767622
depmap,NR1H2,0.14465041665465297
depmap,NR2F6,0.29061779233170826
depmap,NR3C1,0.3245240398383617
depmap,NRAS,0.16909234513498794
depmap,NRIP1,0.180454777455278
depmap,NSF,0.21944635853693348
depmap,NT5DC2,0.19951633461857324
depmap,NUCB2,0.2046285322037095
depmap,NUDCD3,0.16022748828233258
depmap,NUDT9,0.1954176841019524
depmap,NUF2,0.13505191759991053
depmap,NUP133,0.12025469827345342
depmap,NUP43,0.16024239759533077
depmap,NUP85,0.1351179532626151
depmap,NUP88,0.08857661088965375
depmap,NUP93,0.09669580681343415
depmap,NUSAP1,0.1379622057370686
depmap,NVL,0.19304204690085047
depmap,NXT1,0.0789199637360894
depmap,ORC1,0.20644271532734196
depmap,ORC6,0.13307116236807237
depmap,OXA1L,0.12260216886906385
depmap,OXCT1,0.14372135763401883
depmap,OXSR1,0.12529701353566336
depmap,P4HA2,0.4216644998867726
depmap,P4HTM,0.2631539013020896
