dataset,confounder,arm,item,eta2,n
depmap,OncotreeLineage,expression,DUSP6,0.19891890584310448,1065
depmap,OncotreeLineage,expression,DUT,0.22351586050322303,1065
depmap,OncotreeLineage,expression,DYNLRB1,0.1310748694065222,1065
depmap,OncotreeLineage,expression,DYRK3,0.231624356050205,1065
depmap,OncotreeLineage,expression,E2F2,0.33353196640579735,1065
depmap,OncotreeLineage,expression,EAPP,0.06675573060509822,1065
depmap,OncotreeLineage,expression,EBNA1BP2,0.15032841793079632,1065
depmap,OncotreeLineage,expression,ECD,0.0869477897296696,1065
depmap,OncotreeLineage,expression,ECH1,0.09701006323312764,1065
depmap,OncotreeLineage,expression,EDEM1,0.31502448228334523,1065
depmap,OncotreeLineage,expression,EDN1,0.26572898085617214,1065
depmap,OncotreeLineage,expression,EED,0.1277886684607102,1065
depmap,OncotreeLineage,expression,EEF1A1,0.2245644449334509,1065
depmap,OncotreeLineage,expression,EEF2,0.21477345916695165,1065
depmap,OncotreeLineage,expression,EFCAB14,0.15354192588924906,1065
depmap,OncotreeLineage,expression,EFR3A,0.1416881563983367,1065
depmap,OncotreeLineage,expression,EGF,0.23222371477052303,1065
depmap,OncotreeLineage,expression,EGFR,0.5144782634910272,1065
depmap,OncotreeLineage,expression,EGR1,0.12095722063894467,1065
depmap,OncotreeLineage,expression,EIF1AX,0.09491970798183003,1065
depmap,OncotreeLineage,expression,EIF4A1,0.14761900130285702,1065
depmap,OncotreeLineage,expression,EIF4EBP1,0.11872872874472215,1065
depmap,OncotreeLineage,expression,EIF5,0.17627621871995466,1065
depmap,OncotreeLineage,expression,ELAC2,0.11780057200832063,1065
depmap,OncotreeLineage,expression,ELAVL1,0.1782010009565207,1065
depmap,OncotreeLineage,expression,ELL,0.20819713088381042,1065
depmap,OncotreeLineage,expression,ELOVL6,0.08848358072980643,1065
depmap,OncotreeLineage,expression,EMC3,0.16028805766694612,1065
depmap,OncotreeLineage,expression,EML3,0.16011491064823738,1065
depmap,OncotreeLineage,expression,ENOPH1,0.13688991373603562,1065
depmap,OncotreeLineage,expression,ENOSF1,0.28344916019839295,1065
depmap,OncotreeLineage,expression,EP300,0.10955838787587446,1065
depmap,OncotreeLineage,expression,EPB41L2,0.20439125018140963,1065
depmap,OncotreeLineage,expression,EPHA3,0.23963034266089403,1065
depmap,OncotreeLineage,expression,EPHB2,0.35751118875774224,1065
depmap,OncotreeLineage,expression,EPN2,0.3300670566694464,1065
depmap,OncotreeLineage,expression,EPRS1,0.09632465521403923,1065
depmap,OncotreeLineage,expression,ERBB2,0.4555374899806332,1065
depmap,OncotreeLineage,expression,ERBB3,0.5230040465315233,1065
depmap,OncotreeLineage,expression,ESPL1,0.20371511569929507,1065
depmap,OncotreeLineage,expression,ESR1,0.18152951700480438,1065
depmap,OncotreeLineage,expression,ETFB,0.09068476730982379,1065
depmap,OncotreeLineage,expression,ETS1,0.24107442880329788,1065
depmap,OncotreeLineage,expression,ETV1,0.33258963620934096,1065
depmap,OncotreeLineage,expression,EVL,0.42189328525701536,1065
depmap,OncotreeLineage,expression,EXO1,0.17093058172145328,1065
depmap,OncotreeLineage,expression,EXOSC4,0.09828288796397877,1065
depmap,OncotreeLineage,expression,EXT1,0.44339878143101685,1065
depmap,OncotreeLineage,expression,EZH2,0.26529026199141914,1065
depmap,OncotreeLineage,expression,FAH,0.20728738519781717,1065
depmap,OncotreeLineage,expression,FAIM,0.12462555845173383,1065
depmap,OncotreeLineage,expression,FAM20B,0.2318879429668158,1065
depmap,OncotreeLineage,expression,FAM50A,0.1890008541341367,1065
depmap,OncotreeLineage,expression,FARSB,0.15742514281357692,1065
depmap,OncotreeLineage,expression,FAS,0.16798609717388432,1065
depmap,OncotreeLineage,expression,FAT1,0.4407188664372888,1065
depmap,OncotreeLineage,expression,FAU,0.14189545126490158,1065
depmap,OncotreeLineage,expression,FBXL12,0.16879755850398456,1065
depmap,OncotreeLineage,expression,FBXO11,0.09836097434102335,1065
depmap,OncotreeLineage,expression,FBXO21,0.2897105426881291,1065
depmap,OncotreeLineage,expression,FBXO7,0.3210600980149495,1065
depmap,OncotreeLineage,expression,FCHO1,0.39013011116121,1065
depmap,OncotreeLineage,expression,FDFT1,0.13104462456019483,1065
depmap,OncotreeLineage,expression,FERMT2,0.4924033839707806,1065
depmap,OncotreeLineage,expression,FEZ2,0.2378859781261443,1065
depmap,OncotreeLineage,expression,FGFR2,0.24458508581177005,1065
depmap,OncotreeLineage,expression,FGFR4,0.31518364196878557,1065
depmap,OncotreeLineage,expression,FHL2,0.4464841093975106,1065
depmap,OncotreeLineage,expression,FIS1,0.12180897778595698,1065
depmap,OncotreeLineage,expression,FKBP14,0.21592648823323218,1065
depmap,OncotreeLineage,expression,FKBP4,0.14523027150590065,1065
depmap,OncotreeLineage,expression,FOS,0.1839014785726229,1065
depmap,OncotreeLineage,expression,FOSL1,0.31599119773290824,1065
depmap,OncotreeLineage,expression,FOXA1,0.45334474258130114,1065
depmap,OncotreeLineage,expression,FOXC1,0.2431866344235683,1065
depmap,OncotreeLineage,expression,FOXJ3,0.11983923009744367,1065
depmap,OncotreeLineage,expression,FOXO3,0.10750700182461786,1065
depmap,OncotreeLineage,expression,FPGS,0.06497925935572063,1065
depmap,OncotreeLineage,expression,FRS2,0.2166753050601657,1065
depmap,OncotreeLineage,expression,FSD1,0.30994537920488624,1065
depmap,OncotreeLineage,expression,FUT1,0.3430790495228,1065
depmap,OncotreeLineage,expression,FYN,0.251610989755617,1065
