,eta2
FIS1,0.1304659537997331
FKBP14,0.25542124603079386
FKBP4,0.15322402108345945
FLT1,0.21196642537339105
FLT3,0.23551862929375733
FLT4,0.18056095626687993
FNTA,0.11041852251389438
FOS,0.34420430053382667
FOSL1,0.3976807346837543
FOXA1,0.4896866123189032
FOXC1,0.3003036660121358
FOXJ3,0.1145861270690675
FOXO3,0.19119701479651793
FPGS,0.058124170965160656
FRS2,0.22740816195503116
FSD1,0.2856682927142685
FUT1,0.3000146778535066
FYN,0.22575748841858984
FZD1,0.3191458712247548
FZD7,0.33816554958202166
G3BP1,0.10760235521351444
GAA,0.1663660489600468
GABPB1,0.12739217109183862
GADD45A,0.17530610993196422
GADD45B,0.17414859406761374
GALE,0.3766513115203378
GAPDH,0.1646572793739069
GARRE1,0.16450043351713578
GATA2,0.26348162234960804
GATA3,0.3342032250438481
GDPD5,0.052432479522379505
GET1,0.2205367362948252
GFOD1,0.1366711396733753
GFPT1,0.1724759861943679
GFUS,0.18490863842077815
GHR,0.29676937456516544
GLI2,0.29119590779159044
GLOD4,0.10157277331136193
GLRX,0.21699496725018644
GMNN,0.10792042143888449
GNA11,0.6495599894087327
GNA15,0.40163101182366484
GNAI1,0.4047881273426403
GNAI2,0.37043591160987194
GNAS,0.11880912029487029
GNB5,0.19795425302845793
GNPDA1,0.3385441499899234
GOLT1B,0.1657739913540102
GPATCH8,0.13930069096154854
GPC1,0.6152110520184263
GPER1,0.1573318215752859
GPR160,0.31301587365857675
GRB10,0.3219453277260216
GRB7,0.5262483247556898
GRN,0.17045770181525585
GRWD1,0.08340504104450748
GSK3A,0.16303105198838927
GSK3B,0.1493994622398782
GSTZ1,0.08986834478282962
GTF2A2,0.09125523670723086
GTF2E2,0.12184533320543943
GTPBP8,0.08653021233527641
H2AZ2,0.10314245034502469
H2BC12,0.10445791117389443
H2BC21,0.11381649339128151
HADH,0.2775266733629562
HAT1,0.07230955484360829
HDAC1,0.1484838111533277
HDAC2,0.1581692738535034
HDAC3,0.08100898012342893
HDAC6,0.12492945995386671
HDAC8,0.07991446091436274
HEATR1,0.0952917188127606
HEBP1,0.4484590333434777
HERC6,0.18011804761934486
HERPUD1,0.08432424239160828
HES1,0.36867801918269066
HK1,0.21285256735088742
HLA-DRA,0.4799827226435673
HMG20B,0.4099825798813058
HMGA2,0.38574124326044823
HMGCR,0.08787287649505157
HMGCS1,0.07381677542840413
HMOX1,0.2898399567975582
HNF4A,0.5067720154629297
HOMER2,0.1935704715461833
HOOK2,0.23436947900725777
HS2ST1,0.1563679996110532
HSP90AA1,0.14492915505354184
HSP90AB1,0.07280237759668225
HSP90B1,0.2481864365719252
HSPA1A,0.38652112805045263
HSPA1B,0.363235347450997
HSPA1L,0.11551819159142294
HSPA4,0.1353499303486572
HSPA8,0.10437405395520931
HSPD1,0.16898797064756022
HTRA1,0.4611287385440986
HYOU1,0.09348527976384748
IARS2,0.20274051487332947
ICAM1,0.17871840434418956
ICAM3,0.4711908772168171
ICMT,0.23892419784604718
ID2,0.17342911239034248
IDE,0.07989330609386888
IDH1,0.26934982947383496
IER3,0.4570244313570826
IFNAR1,0.12577701633693836
IFRD2,0.16283143910624936
IGF1R,0.24339757379753085
IGF2BP2,0.37336724039939073
IGF2R,0.1818342637189222
IGFBP3,0.3800041005505857
IGHMBP2,0.09716297680851355
IKBKB,0.2177791113681302
IKBKE,0.18861808538639813
IKZF1,0.9282321163257081
IL1B,0.19989734845762583
IL4R,0.2230874169474782
ILK,0.26765059768140703
INPP1,0.278321729626162
INPP4B,0.3705946131135053
INSIG1,0.2060066529274985
INSR,0.20753841233121062
INTS3,0.09834202587727049
IPO13,0.2412387499420629
IQGAP1,0.2220182953906998
ISOC1,0.18686577905393795
ITFG1,0.21639733863437324
ITGAE,0.07942378864947773
ITGB1BP1,0.1467103623331733
ITGB5,0.5825230592189443
JAK1,0.2054997295561735
JAK2,0.13307959652379653
JMJD6,0.17370549084323142
JUN,0.3668294970715354
KAT6A,0.21442876138482847
KAT6B,0.19754595856124083
KCNK1,0.37377462798021766
KCTD5,0.10042451084121573
KDM3A,0.09544533262114915
KDM4A,0.08163432156812193
KDM4B,0.24557495824118553
KDM4C,0.2729678195171636
KDM4D,0.1378378292115802
KDM5A,0.1014088732182227
KDM5B,0.29348304808372544
KDM6A,0.07362106135495242
KDM6B,0.11408777230277842
KDR,0.21026141910218946
KEAP1,0.0809377521845561
KIAA0753,0.14031340179902146
KIF11,0.07669171501920294
KIF14,0.08607256635266819
KIF20A,0.20060393620122716
KIF2C,0.10041775593242493
KIF5C,0.26249301224234284
KIT,0.12607881909870902
KLHDC2,0.13125245654518625
KLHL21,0.2863405395157168
KLHL9,0.07797469380523683
KPNB1,0.17696807305382273
KRT14,0.45902640869917327
KRT17,0.44168309662133043
KRT5,0.5110740363079361
KTN1,0.2648792874536641
LAMA3,0.47003820039971766
LAP3,0.15149448612694985
LBR,0.34020002023056634
LCK,0.2012327097917445
LDHA,0.1803464279871353
LDHB,0.3609774643528693
LDHC,0.04821229824501244
LGALS8,0.14839301325405485
LGMN,0.35583478796747
LIG1,0.2282419666783688
LIPA,0.15626151492902576
LOXL1,0.42248341808187484
LPAR2,0.22005462176236554
LPGAT1,0.196497423158051
LRP10,0.21456865426325225
LRPAP1,0.208825595985016
LRRC41,0.12988584378954987
LRRK2,0.37293988528052296
LSM6,0.25730507649234724
LSR,0.5025603436663639
LYN,0.2576430871358895
LYRM1,0.17153936751532625
MACF1,0.2268375929512266
MALT1,0.15385198425408958
MAN2B1,0.21410925532410255
MAP2K1,0.1018368146584358
MAP2K2,0.18917414429707555
MAP2K5,0.17546697864025135
MAP3K4,0.1393208064397803
MAP3K8,0.21214760120550238
MAP4K4,0.19098593954018206
