ground_truth,set,half,method,n,marg_mean,method_mean,delta,wilcoxon_p
RANDOM,ALL,halfA,irm,200,0.5113608490566038,0.49882641509433967,-0.012534433962264155,0.06822093677900981
RANDOM,ALL,halfA,dann,200,0.5113608490566038,0.5132301886792453,0.0018693396226415072,0.8624437510465516
RANDOM,ALL,halfA,adae,200,0.5113608490566038,0.5086287735849057,-0.002732075471698112,0.9922116826307807
RANDOM,ALL,halfB,residualized,200,0.5094537735849056,0.4912334905660377,-0.018220283018867918,0.02079901645599797
RANDOM,ALL,halfB,within_tissue,200,0.5094537735849056,0.5069966981132076,-0.0024570754716981107,0.5642562127535985
RANDOM,ALL,halfB,irm,200,0.5094537735849056,0.5009212264150943,-0.00853254716981132,0.27213761356348243
RANDOM,ALL,halfB,dann,200,0.5094537735849056,0.5148495283018868,0.0053957547169811385,0.510748895937632
RANDOM,ALL,halfB,adae,200,0.5094537735849056,0.5082556603773585,-0.0011981132075471628,0.8908180376118192
RANDOM,ALL,full,residualized,200,0.5103792452830188,0.49210778301886793,-0.01827146226415095,0.017229479549979228
RANDOM,ALL,full,within_tissue,200,0.5103792452830188,0.5064905660377359,-0.0038886792452830165,0.10859815151694734
RANDOM,ALL,full,irm,200,0.5103792452830188,0.4999533018867925,-0.010425943396226413,0.154994722850169
RANDOM,ALL,full,dann,200,0.5103792452830188,0.5140948113207547,0.003715566037735847,0.7220803443855587
RANDOM,ALL,full,adae,200,0.5103792452830188,0.5084466981132075,-0.0019325471698113227,0.9270851580465741
RANDOM,INTER,halfA,residualized,144,0.5129487683438155,0.4947353249475891,-0.01821344339622641,0.031883227508510664
RANDOM,INTER,halfA,within_tissue,144,0.5129487683438155,0.5091869758909853,-0.0037617924528301947,0.09970160126234337
RANDOM,INTER,halfA,irm,144,0.5129487683438155,0.5015749475890985,-0.011373820754716983,0.20324291752555945
RANDOM,INTER,halfA,dann,144,0.5129487683438155,0.511846174004193,-0.001102594339622642,0.6622907282584369
RANDOM,INTER,halfA,adae,144,0.5129487683438155,0.5141886137316561,0.0012398453878406696,0.810860148142922
RANDOM,INTER,halfB,residualized,144,0.5110953878406709,0.4940598794549266,-0.017035508385744233,0.04936934899971189
RANDOM,INTER,halfB,within_tissue,144,0.5110953878406709,0.510077961215933,-0.0010174266247379442,0.9705689688381064
RANDOM,INTER,halfB,irm,144,0.5110953878406709,0.5037552410901468,-0.007340146750524109,0.45815928995635236
RANDOM,INTER,halfB,dann,144,0.5110953878406709,0.5137572064989518,0.0026618186582809244,0.9039639488071924
RANDOM,INTER,halfB,adae,144,0.5110953878406709,0.5128387054507338,0.0017433176100628957,0.7025285032962834
RANDOM,INTER,full,residualized,144,0.5119588574423479,0.49449423480083854,-0.017464622641509442,0.04123362316778437
RANDOM,INTER,full,within_tissue,144,0.5119588574423479,0.5095191299790357,-0.0024397274633123646,0.42214299211953865
RANDOM,INTER,full,irm,144,0.5119588574423479,0.5027469863731656,-0.009211871069182392,0.32747933350055203
RANDOM,INTER,full,dann,144,0.5119588574423479,0.5128144654088049,0.0008556079664570191,0.8826752575175448
RANDOM,INTER,full,adae,144,0.5119588574423479,0.5136215932914046,0.0016627358490566018,0.7496592464791874
CORUM,ALL,halfA,residualized,40,0.49398717635222156,0.5326834237526155,0.0386962474003939,0.16589964473860164
CORUM,ALL,halfA,within_tissue,40,0.49398717635222156,0.5048670370301457,0.010879860677924147,0.02407598106947262
CORUM,ALL,halfA,irm,40,0.49398717635222156,0.48431857265567846,-0.009668603696543134,0.443733318028535
CORUM,ALL,halfA,dann,40,0.49398717635222156,0.47359778305198025,-0.02038939330024131,0.1423485195809917
CORUM,ALL,halfA,adae,40,0.49398717635222156,0.4727054440287953,-0.021281732323426273,0.27069234351074556
CORUM,ALL,halfB,residualized,40,0.4935918403140935,0.5322672314331579,0.03867539111906452,0.13508384089254832
CORUM,ALL,halfB,within_tissue,40,0.4935918403140935,0.5032451875352363,0.009653347221142902,0.006657873602307518
CORUM,ALL,halfB,irm,40,0.4935918403140935,0.489119031637983,-0.00447280867611047,0.7749952346202917
CORUM,ALL,halfB,dann,40,0.4935918403140935,0.4739830364874642,-0.019608803826629294,0.13508384089254832
CORUM,ALL,halfB,adae,40,0.4935918403140935,0.4711071193376236,-0.02248472097646976,0.24792719178185507
CORUM,ALL,full,residualized,40,0.493597811647083,0.532150233188526,0.038552421541442984,0.1423485195809917
CORUM,ALL,full,within_tissue,40,0.493597811647083,0.5039662518223257,0.010368440175242735,0.0007984068197401939
CORUM,ALL,full,irm,40,0.493597811647083,0.4862725791843765,-0.00732523246270642,0.5808067661073437
CORUM,ALL,full,dann,40,0.493597811647083,0.47363647002844234,-0.019961341618640598,0.1617874718067469
CORUM,ALL,full,adae,40,0.493597811647083,0.47184220215173694,-0.021755609495345943,0.2765956516359438
CORUM,INTER,halfA,residualized,26,0.49888275846031604,0.5561976012522233,0.0573148427919071,0.08902901411056519
CORUM,INTER,halfA,within_tissue,26,0.49888275846031604,0.5095216761036826,0.01063891764336647,0.17308396100997925
CORUM,INTER,halfA,irm,26,0.49888275846031604,0.49471545700341935,-0.00416730145689668,0.8028007447719574
CORUM,INTER,halfA,dann,26,0.49888275846031604,0.48914282487715816,-0.009739933583157957,0.5822249948978424
CORUM,INTER,halfA,adae,26,0.49888275846031604,0.4922485923740194,-0.006634166086296738,0.5316631495952606
CORUM,INTER,halfB,residualized,26,0.49976869372838084,0.5544036174936832,0.05463492376530231,0.09407302737236023
