dataset,variant,method,tau,auroc,sem,n,published,abs_diff_vs_published
depmap,full,adae,0.7,0.4731647940074906,0.01940501737937697,200,0.4731647940074906,0.0
depmap,a61,adae,0.3,0.6778850959843256,0.005703981688640502,144,,
depmap,a61,adae,0.4,0.6628017212790402,0.00768324952157209,144,,
depmap,a61,adae,0.5,0.6219639623224895,0.010746061229885482,144,,
depmap,a61,adae,0.6,0.5683575131942991,0.014564260170109403,144,,
depmap,a61,adae,0.7,0.480421608406159,0.023663697266915553,144,,
depmap,marginal,adae,0.3,0.6747896410442605,0.005726259734824566,170,,
depmap,marginal,adae,0.4,0.6602160933577583,0.007396580278911763,170,,
depmap,marginal,adae,0.5,0.6182840652659395,0.009989018549876624,170,,
depmap,marginal,adae,0.6,0.5695703014413549,0.013278977459495352,170,,
depmap,marginal,adae,0.7,0.4761988690607329,0.021250887763005287,170,,
depmap,all4,adae,0.3,0.6769275137892072,0.005733739701488447,138,,
depmap,all4,adae,0.4,0.6618068990656941,0.007768199408395628,138,,
depmap,all4,adae,0.5,0.6216015054488261,0.0109318886196184,138,,
depmap,all4,adae,0.6,0.5669497590606246,0.014880165896688,138,,
depmap,all4,adae,0.7,0.48063335685465636,0.02429694458841777,138,,
depmap,full,between_tissue,0.3,0.6645659031178093,0.0023248945936903964,200,0.6645659031178093,0.0
depmap,full,between_tissue,0.4,0.651357423258261,0.00315835431725095,200,0.651357423258261,0.0
depmap,full,between_tissue,0.5,0.618825034784337,0.0047614782378098556,200,0.618825034784337,0.0
depmap,full,between_tissue,0.6,0.5819983260096254,0.008428072013028332,200,0.5819983260096254,0.0
depmap,full,between_tissue,0.7,0.5338155430711611,0.014703653406666415,200,0.5338155430711611,0.0
depmap,a61,between_tissue,0.3,0.66839728729018,0.0028842492654836305,144,,
depmap,a61,between_tissue,0.4,0.6584009313219612,0.003777676157222642,144,,
depmap,a61,between_tissue,0.5,0.6252681292652222,0.005806679167939967,144,,
depmap,a61,between_tissue,0.6,0.5918972762781614,0.010426312497010023,144,,
depmap,a61,between_tissue,0.7,0.552870110278818,0.018082862237780946,144,,
depmap,marginal,between_tissue,0.3,0.6677926598724856,0.002563007099724427,170,,
depmap,marginal,between_tissue,0.4,0.6555729042056936,0.003413775675067182,170,,
depmap,marginal,between_tissue,0.5,0.621004916576052,0.0052462913117219704,170,,
depmap,marginal,between_tissue,0.6,0.5847919205346922,0.009263306905199735,170,,
depmap,marginal,between_tissue,0.7,0.5410295953587427,0.016441206544049985,170,,
depmap,all4,between_tissue,0.3,0.6680498744237408,0.0028709436869809872,138,,
depmap,all4,between_tissue,0.4,0.6583725718941051,0.0038188278482608716,138,,
