dataset,item,method,n_cells,r1_pearson,rhalf_pearson,rhalf_spearman,sb_pred_rhalf,full_reliability_sb,in_a61,in_marginal,in_all4,r_wt
ctrpv2,BRD-K94991378,irm,283,0.07005391278809911,0.9136873847393382,0.8992942269894882,0.9139540157255994,0.9548972230527515,False,False,False,0.1005601261709346
ctrpv2,BRD-K94991378,marginal,283,0.10564151232099017,0.9288932250687886,0.9076255515788405,0.9433585084319627,0.963135971443585,False,False,False,0.1042050771707985
ctrpv2,BRD-K94991378,residualized,283,0.0667677419218147,0.9258760308221975,0.9211366230032116,0.9098107066521575,0.9615115573424748,False,False,False,0.2263150142400873
ctrpv2,BRD-K94991378,within_tissue,283,0.08195345534288474,0.9106011638460589,0.8766831778925013,0.9264001490518613,0.9532090538592679,False,False,False,0.1042050771707985
ctrpv2,BRD-K97651142,adae,741,0.1135129641167868,0.9786241814124906,0.9764220936941996,0.9793293575898792,0.9891966252164927,True,True,True,0.2043516055418361
ctrpv2,BRD-K97651142,between_tissue,741,0.32040396043811975,0.9908285140629196,0.9905665414497321,0.9943000806047411,0.9953931311148628,True,True,True,
ctrpv2,BRD-K97651142,dann,741,0.07891562412194737,0.9841533517609886,0.9797347050331329,0.9694193726740367,0.9920133954238229,True,True,True,0.1933519499002663
ctrpv2,BRD-K97651142,irm,741,0.12183147834814753,0.9694006273584204,0.9650188166238294,0.9808910251749999,0.9844625962759934,True,True,True,0.1465077063559419
ctrpv2,BRD-K97651142,marginal,741,0.10395172929408225,0.9761019037159786,0.9723060966778434,0.977233497939168,0.9879064453917675,True,True,True,0.1992056952380922
ctrpv2,BRD-K97651142,residualized,741,0.09794505548325083,0.9761804062224997,0.9748148674598109,0.9757131653680243,0.9879466501628604,True,True,True,0.2398139327384041
ctrpv2,BRD-K97651142,within_tissue,741,0.04647402369157655,0.9699559578829142,0.9649933365461656,0.947460992028812,0.9847488762391553,True,True,True,0.1992056952380922
ctrpv2,BRD-M00053801,adae,389,0.05781316445778083,0.9498276028008773,0.946555522120836,0.9225044063247372,0.9742682906288478,False,False,False,0.1074744588139356
ctrpv2,BRD-M00053801,between_tissue,389,0.20530056135048397,0.9834577891963482,0.9790888079210855,0.9804372085891429,0.9916599128583652,False,False,False,
ctrpv2,BRD-M00053801,dann,389,0.05929177776840579,0.9619464420855814,0.9558565215757925,0.9244005021839125,0.9806041810835738,False,False,False,0.0524572283162512
ctrpv2,BRD-M00053801,irm,389,0.0816964084731521,0.9477419409059105,0.9361817297841913,0.9452328198065452,0.973169926674278,False,False,False,-0.0414245725624434
ctrpv2,BRD-M00053801,marginal,389,0.12483556798390986,0.9569732254785535,0.9470184024977308,0.9651235323407317,0.9780136110390959,False,False,False,0.052326495252178
ctrpv2,BRD-M00053801,residualized,389,0.11515704296001754,0.9331527248600231,0.9229717236483339,0.9619017793932213,0.965420592858323,False,False,False,0.0992465638032892
ctrpv2,BRD-M00053801,within_tissue,389,0.0995415646934501,0.9438188686538236,0.9312079799115635,0.9554482618410634,0.9710975481038085,False,False,False,0.052326495252178
ctrpv2,BRD1240,adae,746,0.07431118675494978,0.9769926826255328,0.9746965194640534,0.9676827076596506,0.988362467106397,True,True,True,0.1659893892052234
ctrpv2,BRD1240,between_tissue,746,0.28969400108366494,0.9938161103276562,0.9916230941958348,0.9934694215182454,0.9968984653899062,True,True,True,
ctrpv2,BRD1240,dann,746,0.15717712411380236,0.9853248282387994,0.9814835800470888,0.9858277378103074,0.9926081759758079,True,True,True,0.2121304453210571
ctrpv2,BRD1240,irm,746,0.12970524833703756,0.9781722596238633,0.9728183954430971,0.9823291670093304,0.98896570292605,True,True,True,0.1331155313262238
ctrpv2,BRD1240,marginal,746,0.07865757882873958,0.9818702240966448,0.977400549579668,0.969553087750862,0.9908521881589806,True,True,True,0.2004690030889725
ctrpv2,BRD1240,residualized,746,0.13879963450032146,0.9770893234361007,0.9761060803310464,0.983637779095417,0.9884119162992183,True,True,True,0.1751242728018325
ctrpv2,BRD1240,within_tissue,746,0.08670526724560838,0.979848873532408,0.9748608923145798,0.9725360900402018,0.9898218865404415,True,True,True,0.2004690030889725
ctrpv2,BRD1835,adae,419,0.09451906251594497,0.9514344748274162,0.9395724792581792,0.9561721940313695,0.9751129101186556,False,False,False,0.1297061278515649
ctrpv2,BRD1835,between_tissue,419,0.26746908690590476,0.9844955111246705,0.9832738576250634,0.9870654293539056,0.9921871887397,False,False,False,
ctrpv2,BRD1835,dann,419,0.07242478738830915,0.9692226626744267,0.9591888926945389,0.9422587979560864,0.9843708190501047,False,False,False,0.0960058545631077
ctrpv2,BRD1835,irm,419,0.05718616494975465,0.9600734114572314,0.9511351541730981,0.9268837426338323,0.9796300545125578,False,False,False,0.0547011190171219
ctrpv2,BRD1835,marginal,419,0.12900665308793977,0.9692918644001935,0.9613037951931089,0.9687068826468512,0.9844065086770876,False,False,False,0.0735983603556725
ctrpv2,BRD1835,residualized,419,0.04084140500126354,0.9197219622218726,0.9115226050542651,0.8989829006295006,0.9581824663373575,False,False,False,0.1798517570679041
ctrpv2,BRD1835,within_tissue,419,0.10256815139670646,0.9565440130062658,0.9490929832737425,0.959817999595086,0.9777894150579504,False,False,False,0.0735983603556725
ctrpv2,BRD3308,adae,411,0.15455261420583216,0.9551835173294897,0.9520618299561828,0.9740092127766188,0.9770781196377292,False,False,False,0.2142703245088976
ctrpv2,BRD3308,between_tissue,411,0.26178326489425235,0.9801868992695193,0.9761561969414043,0.9864307837953719,0.9899943279405647,False,False,False,
ctrpv2,BRD3308,dann,411,0.10248106130512136,0.9638396092531789,0.9539225201754619,0.9590288804034877,0.9815868920371902,False,False,False,0.1079860407234668
