,eta2
RPL36A,0.2220915839343468
RPL39L,0.17391166732551658
RPL4,0.2265438127221945
RPL6,0.20741619479677081
RPL7A,0.2001686193208668
RPL9,0.24789819096346488
RPN1,0.22057758600764796
RPP21,0.16629272045937407
RPP25L,0.14634783701182907
RPS15A,0.24988330475655401
RPS2,0.14041138583716986
RPS4X,0.19804783149903857
RPS5,0.22983963224507373
RPS6,0.25669558711672896
RPS6KA1,0.4898162595889617
RRAGA,0.2674969593515182
RRM1,0.11838929883091655
RRM2,0.13911085402898093
RRN3,0.11792854539010324
RRP12,0.09730938764120385
RRP1B,0.22286317741114073
RRP8,0.11902258801090064
RRS1,0.06613301522199255
RSU1,0.25819386987591786
RTN2,0.14374678521832668
RUVBL1,0.12888363212407952
S100A13,0.5424648871850913
S100A4,0.17104843684366605
SACM1L,0.21667621462133263
SARS1,0.08689134496537126
SBDS,0.3689628989082084
SCAND1,0.13095252657531362
SCAP,0.16861838129137993
SCARB1,0.1968968272799893
SCCPDH,0.1240099402499737
SCD,0.15005378160056237
SCP2,0.10389405371149253
SCRN1,0.3361482306272261
SCYL3,0.17662515231713355
SDHB,0.13115328443138075
SENP6,0.11771103665124019
SEPHS2,0.1667494108194227
SEPSECS,0.1758778798554291
SERPINE1,0.42077372636402505
SESN1,0.13558821615237757
SFN,0.6490862282595427
SFRP1,0.3813368471178312
SGCB,0.47534211294357787
SH3BP5,0.19291339612807154
SHC1,0.31307199255225177
SIRT3,0.0948772517070697
SKP1,0.2504675309688835
SKP2,0.16183109868126866
SLC11A2,0.14791070323448202
SLC1A4,0.3307915114059122
SLC25A13,0.28352650410165803
SLC25A4,0.16258320660142242
SLC25A46,0.21149669861834416
SLC27A3,0.1385456206158603
SLC2A6,0.14945651468236584
SLC35A1,0.07011949250206599
SLC35A3,0.23604151035336235
SLC35B1,0.15883765388502818
SLC35F2,0.2249293838627714
SLC37A4,0.19951997685537157
SLC39A6,0.28551124184281423
SLC5A6,0.25242466178499484
SMAD3,0.26194727558488673
SMARCA4,0.17224458458426095
SMARCC1,0.21527668715675516
SMARCD2,0.2488885080311668
SMC3,0.15500548394852817
SMC4,0.12594651311095884
SMG1,0.12888435949802987
SMNDC1,0.06901838619261838
SNAP23,0.17226438192964763
SNAP25,0.26580660605174516
SNCA,0.3577227681325204
SNRPA1,0.14145598351092306
SNRPB2,0.24213437538499988
SNRPD1,0.15333168932162844
SNRPD3,0.08132779629181879
SNRPF,0.18181565666884159
SNX11,0.09355457219789494
SNX13,0.2461167326949108
SNX6,0.2449765441704851
SNX7,0.5620679876413264
SOCS2,0.11450152281293778
SOD1,0.12457646609245339
SOD2,0.14993181380869786
SORBS3,0.3308669589543018
SOX4,0.11866683837335043
SPAG4,0.13863240819866543
SPAG7,0.15309011494293254
SPC24,0.14652752301356795
SPDEF,0.36754679993707734
SPEN,0.17425682017735047
SPP1,0.28353336766217535
SPR,0.49548187705882174
SPRED2,0.15168224111719608
SPTAN1,0.24401676912617573
SPTLC2,0.1708700634838112
SQSTM1,0.3185131069329603
SRC,0.4289989802283298
SRSF3,0.1702963667362598
SS18L2,0.29622492141792667
SSBP2,0.3152595162756877
ST3GAL5,0.2513667855507806
ST6GALNAC2,0.432023264129263
ST7,0.15225661082666694
STAMBP,0.09978195186664741
STAP2,0.42682053229991807
STAT1,0.15589663198456075
STAT3,0.13054485352579148
STAT5B,0.26386452714073255
STK10,0.36735023793595717
STK25,0.19173333247244573
STMN1,0.1860844227526792
STX1A,0.34907447976111294
STX4,0.1412225862139609
STXBP1,0.33580382234986683
STXBP2,0.5072916628728765
SUPV3L1,0.1189896262219471
SUZ12,0.22478676026840436
SYK,0.36465493934307147
