target,in_inter,N,rank_marginal,selfauroc_marginal,rank_residualized,selfauroc_residualized,rank_within_tissue,selfauroc_within_tissue,rank_irm,selfauroc_irm
RPL6,False,1071,680,0.36542056074766355,352,0.6719626168224299,692,0.3542056074766355,490,0.5429906542056074
RPL7A,False,1071,284,0.7355140186915888,325,0.697196261682243,287,0.7327102803738318,88,0.9186915887850468
RPL9,True,1071,565,0.47289719626168225,872,0.18598130841121496,451,0.5794392523364486,426,0.602803738317757
RPP21,True,1071,458,0.5728971962616822,776,0.2757009345794392,409,0.6186915887850467,357,0.6672897196261682
RPP25L,True,1071,419,0.6093457943925233,596,0.4439252336448598,321,0.7009345794392523,295,0.7252336448598131
RPS15A,False,1071,17,0.9850467289719627,21,0.9813084112149533,22,0.9803738317757009,6,0.9953271028037384
RPS2,False,1071,9,0.9925233644859813,1,1.0,3,0.9981308411214953,11,0.9906542056074766
RPS4X,False,1071,1,1.0,2,0.9990654205607477,1,1.0,1,1.0
RRM1,False,1071,999,0.06728971962616823,300,0.7205607476635514,977,0.08785046728971962,1061,0.009345794392523364
RRM2,False,1071,623,0.41869158878504675,155,0.8560747663551402,629,0.4130841121495327,686,0.3598130841121495
RRN3,False,1071,881,0.17757009345794392,896,0.16355140186915887,787,0.26542056074766357,754,0.29626168224299065
SARS1,False,1071,914,0.14672897196261683,893,0.16635514018691588,804,0.24953271028037383,665,0.3794392523364486
SBDS,True,1071,774,0.2775700934579439,955,0.10841121495327102,840,0.21588785046728973,628,0.41401869158878507
SCAP,True,1071,122,0.8869158878504673,96,0.9112149532710281,122,0.8869158878504673,184,0.8289719626168224
SCD,True,1071,1,1.0,1,1.0,1,1.0,1,1.0
SDHB,True,1071,200,0.814018691588785,344,0.6794392523364486,164,0.8476635514018691,109,0.8990654205607477
SEPHS2,True,1071,1035,0.03364485981308411,665,0.3794392523364486,998,0.06822429906542056,963,0.10093457943925234
SEPSECS,True,1071,1,1.0,1,1.0,1,1.0,1,1.0
SKP2,True,1071,71,0.9345794392523364,27,0.9757009345794393,63,0.9420560747663551,40,0.9635514018691589
SMG1,False,1071,850,0.20654205607476636,612,0.4289719626168224,743,0.30654205607476637,697,0.34953271028037386
SNAP23,True,1071,993,0.07289719626168224,914,0.14672897196261683,924,0.13738317757009347,886,0.17289719626168223
SNRPA1,True,1071,964,0.1,725,0.3233644859813084,910,0.15046728971962617,991,0.07476635514018691
SNRPB2,True,1071,763,0.28785046728971964,570,0.46822429906542057,750,0.3,747,0.30280373831775703
SNRPD1,False,1071,390,0.6364485981308411,151,0.8598130841121495,317,0.7046728971962617,584,0.45514018691588787
SNRPD3,False,1071,958,0.10560747663551402,305,0.7158878504672898,905,0.15514018691588785,814,0.24018691588785046
SNRPF,False,1071,920,0.1411214953271028,657,0.38691588785046727,939,0.1233644859813084,932,0.12990654205607477
SOD1,True,1071,766,0.2850467289719626,415,0.6130841121495327,711,0.3364485981308411,793,0.25981308411214954
SOD2,True,1071,1,1.0,7,0.994392523364486,1,1.0,4,0.997196261682243
SPC24,False,1071,469,0.5626168224299065,10,0.991588785046729,485,0.5476635514018692,603,0.4373831775700935
SRSF3,False,1071,267,0.7514018691588785,244,0.7728971962616823,271,0.7476635514018691,351,0.6728971962616822
SS18L2,True,1071,363,0.6616822429906543,122,0.8869158878504673,450,0.5803738317757009,163,0.8485981308411215
STX4,True,1071,301,0.719626168224299,228,0.7878504672897196,225,0.7906542056074767,124,0.8850467289719626
SYS1,True,1071,676,0.3691588785046729,767,0.2841121495327103,626,0.4158878504672897,631,0.411214953271028
TADA1,True,1071,642,0.4009345794392523,1060,0.010280373831775701,658,0.385981308411215,873,0.18504672897196262
TAMM41,True,1071,2,0.9990654205607477,2,0.9990654205607477,2,0.9990654205607477,2,0.9990654205607477
TFRC,True,1071,5,0.9962616822429906,11,0.9906542056074766,5,0.9962616822429906,5,0.9962616822429906
THAP1,True,1071,85,0.9214953271028037,42,0.9616822429906542,70,0.9355140186915888,116,0.8925233644859814
TIMM10,True,1071,678,0.36728971962616824,820,0.23457943925233646,577,0.4616822429906542,530,0.505607476635514
TINF2,True,1071,981,0.08411214953271028,363,0.6616822429906543,914,0.14672897196261683,444,0.585981308411215
TOP2A,True,1071,410,0.6177570093457944,790,0.2626168224299065,388,0.6383177570093458,490,0.5429906542056074
TP53,True,1071,9,0.9925233644859813,9,0.9925233644859813,8,0.9934579439252337,10,0.991588785046729
TRPM7,True,1071,362,0.6626168224299065,281,0.7383177570093458,313,0.708411214953271,766,0.2850467289719626
TSC2,True,1071,965,0.09906542056074766,1047,0.022429906542056073,864,0.19345794392523363,916,0.14485981308411214
TUBB,True,1071,10,0.991588785046729,6,0.9953271028037384,13,0.9887850467289719,16,0.985981308411215
TXNL4A,False,1071,104,0.9037383177570093,27,0.9757009345794393,109,0.8990654205607477,257,0.7607476635514019
