target,method,auroc_coessG_0.01,auroc_coessW_0.01,auroc_string,auroc_RANDOM,auroc_CORUM
ATP6V1B2,within_tissue,0.46698113207547165,0.43216981132075477,0.44797551789077217,0.5691509433962265,
ATP6V1B2,irm,0.44018867924528304,0.4519811320754717,0.4459745762711865,0.4850943396226415,
ATP6V1B2,dann,0.48405660377358484,0.3909433962264151,0.4579802259887006,0.489811320754717,
ATP6V1B2,adae,0.5379245283018868,0.4407547169811321,0.46056967984934083,0.41622641509433966,
ATP6V1F,marginal,0.4492452830188679,0.44867924528301883,0.5430790960451978,0.6792452830188679,
ATP6V1F,residualized,0.47188679245283016,0.5044339622641509,0.6102871939736346,0.4966981132075472,
ATP6V1F,within_tissue,0.464811320754717,0.47367924528301886,0.5589689265536724,0.6422641509433962,
ATP6V1F,irm,0.4917924528301887,0.5310377358490566,0.461864406779661,0.6617924528301887,
ATP6V1F,dann,0.4523584905660378,0.4527358490566038,0.5503766478342749,0.699622641509434,
ATP6V1F,adae,0.4779245283018868,0.44254716981132075,0.6314736346516008,0.6721698113207547,
BCL2L1,marginal,0.6029245283018868,0.584811320754717,0.5494850948509484,0.5450943396226415,
BCL2L1,residualized,0.5249056603773585,0.6642452830188679,0.5428726287262873,0.549433962264151,
BCL2L1,within_tissue,0.5678301886792453,0.6332075471698113,0.5472086720867209,0.5251886792452831,
BCL2L1,irm,0.6430188679245283,0.6236792452830189,0.5442818428184282,0.45198113207547175,
BCL2L1,dann,0.47962264150943396,0.5909433962264151,0.563230352303523,0.5300943396226415,
BCL2L1,adae,0.4643396226415094,0.37047169811320757,0.5716205962059621,0.520188679245283,
BUB3,marginal,0.6086792452830189,0.6086792452830189,0.307,0.5916981132075472,
BUB3,residualized,0.48481132075471695,0.48481132075471695,0.3422857142857143,0.6299056603773585,
BUB3,within_tissue,0.6458490566037736,0.6458490566037736,0.34514285714285714,0.5834905660377359,
BUB3,irm,0.5718867924528303,0.5718867924528303,0.34804761904761905,0.5881132075471698,
BUB3,dann,0.5532075471698114,0.5532075471698114,0.2764761904761905,0.5837735849056603,
BUB3,adae,0.36103773584905663,0.36103773584905663,0.18514285714285716,0.565377358490566,
CBFB,marginal,0.48047169811320756,0.6107547169811322,0.6474528301886793,0.2952830188679245,
CBFB,residualized,0.36641509433962266,0.6058490566037735,0.6066037735849057,0.3528301886792453,
CBFB,within_tissue,0.39264150943396237,0.5564150943396227,0.6021698113207548,0.20433962264150943,
CBFB,irm,0.5102830188679245,0.6203773584905661,0.6782075471698114,0.2924528301886793,
CBFB,dann,0.3288679245283019,0.5628301886792453,0.6195283018867924,0.32716981132075473,
CBFB,adae,0.600754716981132,0.6664150943396225,0.764433962264151,0.5275471698113208,
CCND1,marginal,0.7277358490566037,0.8869811320754717,0.4955530116238112,0.526132075471698,0.48111812928369835
CCND1,residualized,0.6720754716981132,0.8743396226415093,0.5339321357285429,0.5406603773584906,0.6996371455449536
CCND1,within_tissue,0.7391509433962264,0.8960377358490565,0.49994129388282255,0.545188679245283,0.4965730412578955
CCND1,irm,0.7289622641509435,0.8858490566037736,0.47645884701185864,0.565377358490566,0.48017739551135596
CCND1,dann,0.7277358490566037,0.9027358490566038,0.48727544910179643,0.42669811320754725,0.5184786990995834
CCND1,adae,0.6339622641509434,0.7013207547169811,0.4887284255019373,0.5083018867924529,0.4301841150383013
CDAN1,marginal,0.5387735849056604,0.38207547169811323,,0.5191509433962265,
CDAN1,residualized,0.7482075471698113,0.5739622641509434,,0.4071698113207547,
CDAN1,within_tissue,0.5811320754716982,0.4376415094339623,,0.5256603773584906,
CDAN1,irm,0.6382075471698113,0.419811320754717,,0.53,
CDAN1,dann,0.641132075471698,0.49009433962264154,,0.4343396226415094,
CDAN1,adae,0.31471698113207547,0.37349056603773584,,0.5555660377358491,
CDC42,marginal,0.3288679245283019,0.36679245283018874,0.45437254901960783,0.6200943396226415,
CDC42,residualized,0.20669811320754716,0.20141509433962265,0.4767450980392157,0.7680188679245283,
CDC42,within_tissue,0.26839622641509436,0.28575471698113214,0.42076470588235293,0.6104716981132076,
CDC42,irm,0.42500000000000004,0.42830188679245285,0.4553725490196079,0.6032075471698114,
CDC42,dann,0.2732075471698113,0.2924528301886793,0.46362745098039215,0.6429245283018867,
CDC42,adae,0.5054716981132076,0.5803773584905659,0.534921568627451,0.5140566037735849,
CDC45,marginal,0.6347169811320754,0.6234905660377359,0.4101178781925343,0.503867924528302,
CDC45,residualized,0.6181132075471698,0.6015094339622642,0.376020099743086,0.5800943396226415,
CDC45,within_tissue,0.6680188679245282,0.6479245283018868,0.4355448088257518,0.5566981132075471,
CDC45,irm,0.6297169811320754,0.6328301886792452,0.4124414387184525,0.6485849056603773,
CDC45,dann,0.6729245283018868,0.6874528301886792,0.4049418165331722,0.5126415094339623,
CDC45,adae,0.6569811320754718,0.7031132075471699,0.25946425872752005,0.6196226415094339,
CDK1,marginal,0.5131132075471698,0.5019811320754717,0.47120343202631815,0.29886792452830185,0.3231195887445888
CDK1,residualized,0.48745283018867924,0.39433962264150946,0.46364586111852046,0.38632075471698113,0.4074675324675325
CDK1,within_tissue,0.5417924528301887,0.5285849056603773,0.48954165555259177,0.2829245283018868,0.335159632034632
CDK1,irm,0.519433962264151,0.404622641509434,0.4283920156486174,0.3166037735849057,0.339353354978355
CDK1,dann,0.529056603773585,0.4790566037735849,0.45209833733440025,0.34830188679245283,0.36228354978354976
CDK1,adae,0.3682075471698113,0.3938679245283019,0.32740397439317154,0.464622641509434,0.3522727272727273
CDK4,marginal,0.5436792452830188,0.47273584905660376,0.4716703985669503,0.4852830188679246,0.7340525328330206
CDK4,residualized,0.5468867924528302,0.504245283018868,0.5228481862964621,0.41150943396226414,0.8574108818011257
CDK4,within_tissue,0.5202830188679246,0.454622641509434,0.485230631437528,0.4188679245283019,0.7699343339587241
