item,method,K,contamination
Azacitidine,marginal,50,0.28
Azacitidine,marginal,100,0.25
Azacitidine,residualized,10,0.0
Azacitidine,residualized,50,0.06
Azacitidine,residualized,100,0.08
Azacitidine,irm,10,0.4
Azacitidine,irm,50,0.36
Azacitidine,irm,100,0.31
Azacitidine,within_tissue,10,0.1
Azacitidine,within_tissue,50,0.2
Azacitidine,within_tissue,100,0.21
Azacitidine,dann,10,0.3
Azacitidine,dann,50,0.3
Azacitidine,dann,100,0.28
Azacitidine,adae,10,0.3
Azacitidine,adae,50,0.5
Azacitidine,adae,100,0.41
B02,marginal,10,0.5
B02,marginal,50,0.32
B02,marginal,100,0.29
B02,residualized,10,0.2
B02,residualized,50,0.16
B02,residualized,100,0.15
B02,irm,10,0.6
B02,irm,50,0.36
B02,irm,100,0.31
B02,within_tissue,10,0.3
B02,within_tissue,50,0.2
B02,within_tissue,100,0.23
B02,dann,10,0.5
B02,dann,50,0.26
B02,dann,100,0.19
B02,adae,10,0.6
B02,adae,50,0.42
B02,adae,100,0.39
BI-2536,marginal,10,0.1
BI-2536,marginal,50,0.06
BI-2536,marginal,100,0.08
BI-2536,residualized,10,0.1
BI-2536,residualized,50,0.1
BI-2536,residualized,100,0.13
BI-2536,irm,10,0.0
BI-2536,irm,50,0.12
BI-2536,irm,100,0.13
BI-2536,within_tissue,10,0.0
BI-2536,within_tissue,50,0.04
BI-2536,within_tissue,100,0.05
BI-2536,dann,10,0.0
BI-2536,dann,50,0.1
BI-2536,dann,100,0.09
BI-2536,adae,10,0.4
BI-2536,adae,50,0.24
BI-2536,adae,100,0.27
BIBR-1532,marginal,10,0.3
BIBR-1532,marginal,50,0.36
BIBR-1532,marginal,100,0.42
BIBR-1532,residualized,10,0.2
BIBR-1532,residualized,50,0.18
BIBR-1532,residualized,100,0.23
BIBR-1532,irm,10,0.6
BIBR-1532,irm,50,0.38
BIBR-1532,irm,100,0.4
BIBR-1532,within_tissue,10,0.2
BIBR-1532,within_tissue,50,0.26
BIBR-1532,within_tissue,100,0.35
BIBR-1532,dann,10,0.2
BIBR-1532,dann,50,0.42
BIBR-1532,dann,100,0.39
BIBR-1532,adae,10,0.2
BIBR-1532,adae,50,0.48
BIBR-1532,adae,100,0.46
BIX-01294,marginal,10,0.1
BIX-01294,marginal,50,0.28
BIX-01294,marginal,100,0.3
BIX-01294,residualized,10,0.2
BIX-01294,residualized,50,0.14
BIX-01294,residualized,100,0.15
BIX-01294,irm,10,0.3
BIX-01294,irm,50,0.3
BIX-01294,irm,100,0.3
BIX-01294,within_tissue,10,0.1
BIX-01294,within_tissue,50,0.14
BIX-01294,within_tissue,100,0.15
BIX-01294,dann,10,0.3
BIX-01294,dann,50,0.24
BIX-01294,dann,100,0.28
BIX-01294,adae,10,0.6
BIX-01294,adae,50,0.56
BIX-01294,adae,100,0.47
BMS-195614,marginal,10,0.3
BMS-195614,marginal,50,0.38
BMS-195614,marginal,100,0.32
BMS-195614,residualized,10,0.1
BMS-195614,residualized,50,0.1
BMS-195614,residualized,100,0.14
BMS-195614,irm,10,0.5
BMS-195614,irm,50,0.36
BMS-195614,irm,100,0.3
BMS-195614,within_tissue,10,0.2
BMS-195614,within_tissue,50,0.36
BMS-195614,within_tissue,100,0.28
BMS-195614,dann,10,0.5
BMS-195614,dann,50,0.34
BMS-195614,dann,100,0.31
BMS-195614,adae,10,0.2
BMS-195614,adae,50,0.36
BMS-195614,adae,100,0.34
BMS-270394,marginal,10,0.3
BMS-270394,marginal,50,0.4
BMS-270394,marginal,100,0.38
BMS-270394,residualized,10,0.0
BMS-270394,residualized,50,0.06
BMS-270394,residualized,100,0.09
BMS-270394,irm,10,0.4
BMS-270394,irm,50,0.46
BMS-270394,irm,100,0.41
BMS-270394,within_tissue,10,0.1
BMS-270394,within_tissue,50,0.24
BMS-270394,within_tissue,100,0.3
BMS-270394,dann,10,0.3
BMS-270394,dann,50,0.32
BMS-270394,dann,100,0.34
BMS-270394,adae,10,0.4
BMS-270394,adae,50,0.12
BMS-270394,adae,100,0.16
BMS-345541,marginal,10,0.4
BMS-345541,marginal,50,0.28
BMS-345541,marginal,100,0.27
BMS-345541,residualized,10,0.1
BMS-345541,residualized,50,0.06
BMS-345541,residualized,100,0.13
BMS-345541,irm,10,0.4
BMS-345541,irm,50,0.3
BMS-345541,irm,100,0.31
BMS-345541,within_tissue,10,0.1
BMS-345541,within_tissue,50,0.16
BMS-345541,within_tissue,100,0.15
BMS-345541,dann,10,0.3
BMS-345541,dann,50,0.22
BMS-345541,dann,100,0.22
BMS-345541,adae,10,0.0
BMS-345541,adae,50,0.24
BMS-345541,adae,100,0.24
BMS-536924,marginal,10,0.3
BMS-536924,marginal,50,0.38
BMS-536924,marginal,100,0.3
BMS-536924,residualized,10,0.0
BMS-536924,residualized,50,0.14
BMS-536924,residualized,100,0.17
BMS-536924,irm,10,0.4
BMS-536924,irm,50,0.34
BMS-536924,irm,100,0.28
BMS-536924,within_tissue,10,0.0
BMS-536924,within_tissue,50,0.2
BMS-536924,within_tissue,100,0.21
BMS-536924,dann,10,0.1
BMS-536924,dann,50,0.28
BMS-536924,dann,100,0.26
BMS-536924,adae,10,0.2
BMS-536924,adae,50,0.2
BMS-536924,adae,100,0.25
BMS-754807,marginal,10,0.0
BMS-754807,marginal,50,0.18
BMS-754807,marginal,100,0.18
BMS-754807,residualized,10,0.0
BMS-754807,residualized,50,0.08
BMS-754807,residualized,100,0.1
BMS-754807,irm,10,0.0
BMS-754807,irm,50,0.16
BMS-754807,irm,100,0.16
BMS-754807,within_tissue,10,0.0
BMS-754807,within_tissue,50,0.02
BMS-754807,within_tissue,100,0.06
BMS-754807,dann,10,0.0
BMS-754807,dann,50,0.12
BMS-754807,dann,100,0.13
BMS-754807,adae,10,0.0
BMS-754807,adae,50,0.14
BMS-754807,adae,100,0.16
BRD-A02303741-carboplatin_(1-1_mol-mol),marginal,10,0.4
BRD-A02303741-carboplatin_(1-1_mol-mol),marginal,50,0.48
BRD-A02303741-carboplatin_(1-1_mol-mol),marginal,100,0.46
BRD-A02303741-carboplatin_(1-1_mol-mol),residualized,10,0.0
BRD-A02303741-carboplatin_(1-1_mol-mol),residualized,50,0.06
BRD-A02303741-carboplatin_(1-1_mol-mol),residualized,100,0.12
BRD-A02303741-carboplatin_(1-1_mol-mol),irm,10,0.4
BRD-A02303741-carboplatin_(1-1_mol-mol),irm,50,0.34
BRD-A02303741-carboplatin_(1-1_mol-mol),irm,100,0.38
BRD-A02303741-carboplatin_(1-1_mol-mol),within_tissue,10,0.5
BRD-A02303741-carboplatin_(1-1_mol-mol),within_tissue,50,0.48
BRD-A02303741-carboplatin_(1-1_mol-mol),within_tissue,100,0.48
BRD-A02303741-carboplatin_(1-1_mol-mol),dann,10,0.2
BRD-A02303741-carboplatin_(1-1_mol-mol),dann,50,0.16
BRD-A02303741-carboplatin_(1-1_mol-mol),dann,100,0.26
BRD-A02303741-carboplatin_(1-1_mol-mol),adae,10,0.1
BRD-A02303741-carboplatin_(1-1_mol-mol),adae,50,0.06
BRD-A02303741-carboplatin_(1-1_mol-mol),adae,100,0.09
BRD-A02303741-navitoclax_(2-1_mol-mol),marginal,10,0.3
BRD-A02303741-navitoclax_(2-1_mol-mol),marginal,50,0.16
BRD-A02303741-navitoclax_(2-1_mol-mol),marginal,100,0.22
BRD-A02303741-navitoclax_(2-1_mol-mol),residualized,10,0.3
BRD-A02303741-navitoclax_(2-1_mol-mol),residualized,50,0.16
BRD-A02303741-navitoclax_(2-1_mol-mol),residualized,100,0.16
