item,method,K,contamination
CCND1,adae,50,0.38
CCND1,adae,100,0.36
CDAN1,marginal,10,0.1
CDAN1,marginal,50,0.12
CDAN1,marginal,100,0.17
CDAN1,residualized,10,0.0
CDAN1,residualized,50,0.04
CDAN1,residualized,100,0.07
CDAN1,irm,10,0.2
CDAN1,irm,50,0.1
CDAN1,irm,100,0.18
CDAN1,within_tissue,10,0.1
CDAN1,within_tissue,50,0.06
CDAN1,within_tissue,100,0.07
CDAN1,dann,10,0.5
CDAN1,dann,50,0.2
CDAN1,dann,100,0.19
CDAN1,adae,10,0.8
CDAN1,adae,50,0.68
CDAN1,adae,100,0.57
CDC42,marginal,10,0.2
CDC42,marginal,50,0.34
CDC42,marginal,100,0.27
CDC42,residualized,10,0.2
CDC42,residualized,50,0.14
CDC42,residualized,100,0.16
CDC42,irm,10,0.2
CDC42,irm,50,0.3
CDC42,irm,100,0.22
CDC42,within_tissue,10,0.1
CDC42,within_tissue,50,0.16
CDC42,within_tissue,100,0.18
CDC42,dann,10,0.4
CDC42,dann,50,0.34
CDC42,dann,100,0.29
CDC42,adae,10,0.7
CDC42,adae,50,0.56
CDC42,adae,100,0.53
CDC45,marginal,10,0.1
CDC45,marginal,50,0.3
CDC45,marginal,100,0.26
CDC45,residualized,10,0.1
CDC45,residualized,50,0.12
CDC45,residualized,100,0.11
CDC45,irm,10,0.2
CDC45,irm,50,0.26
CDC45,irm,100,0.27
CDC45,within_tissue,10,0.0
CDC45,within_tissue,50,0.12
CDC45,within_tissue,100,0.17
CDC45,dann,10,0.3
CDC45,dann,50,0.32
CDC45,dann,100,0.32
CDC45,adae,10,0.8
CDC45,adae,50,0.56
CDC45,adae,100,0.37
CDK1,marginal,10,0.2
CDK1,marginal,50,0.28
CDK1,marginal,100,0.31
CDK1,residualized,10,0.1
CDK1,residualized,50,0.2
CDK1,residualized,100,0.24
CDK1,irm,10,0.1
CDK1,irm,50,0.24
CDK1,irm,100,0.22
CDK1,within_tissue,10,0.2
CDK1,within_tissue,50,0.12
CDK1,within_tissue,100,0.23
CDK1,dann,10,0.1
CDK1,dann,50,0.32
CDK1,dann,100,0.32
CDK1,adae,10,0.6
CDK1,adae,50,0.56
CDK1,adae,100,0.5
CDK4,marginal,10,0.1
CDK4,marginal,50,0.3
CDK4,marginal,100,0.28
CDK4,residualized,10,0.1
CDK4,residualized,50,0.1
CDK4,residualized,100,0.19
CDK4,irm,10,0.1
CDK4,irm,50,0.24
CDK4,irm,100,0.25
CDK4,within_tissue,10,0.1
CDK4,within_tissue,50,0.1
CDK4,within_tissue,100,0.2
CDK4,dann,10,0.1
CDK4,dann,50,0.26
CDK4,dann,100,0.29
CDK4,adae,10,0.2
CDK4,adae,50,0.3
CDK4,adae,100,0.33
CDK6,marginal,10,0.1
CDK6,marginal,50,0.24
CDK6,marginal,100,0.25
CDK6,residualized,10,0.1
CDK6,residualized,50,0.14
CDK6,residualized,100,0.19
CDK6,irm,10,0.2
CDK6,irm,50,0.18
CDK6,irm,100,0.2
CDK6,within_tissue,10,0.0
CDK6,within_tissue,50,0.16
CDK6,within_tissue,100,0.16
CDK6,dann,10,0.2
CDK6,dann,50,0.18
CDK6,dann,100,0.24
CDK6,adae,10,0.3
CDK6,adae,50,0.26
CDK6,adae,100,0.25
CENPW,marginal,10,0.0
CENPW,marginal,50,0.18
CENPW,marginal,100,0.18
CENPW,residualized,10,0.1
CENPW,residualized,50,0.16
CENPW,residualized,100,0.13
CENPW,irm,10,0.1
CENPW,irm,50,0.18
CENPW,irm,100,0.17
CENPW,within_tissue,10,0.0
CENPW,within_tissue,50,0.12
CENPW,within_tissue,100,0.12
CENPW,dann,10,0.2
CENPW,dann,50,0.14
CENPW,dann,100,0.16
CENPW,adae,10,0.5
CENPW,adae,50,0.44
CENPW,adae,100,0.39
CFL1,marginal,10,0.3
CFL1,marginal,50,0.3
CFL1,marginal,100,0.27
CFL1,residualized,10,0.1
CFL1,residualized,50,0.2
CFL1,residualized,100,0.25
CFL1,irm,10,0.1
CFL1,irm,50,0.32
CFL1,irm,100,0.33
CFL1,within_tissue,10,0.0
CFL1,within_tissue,50,0.2
CFL1,within_tissue,100,0.17
CFL1,dann,10,0.0
CFL1,dann,50,0.28
CFL1,dann,100,0.29
CFL1,adae,10,0.7
CFL1,adae,50,0.54
CFL1,adae,100,0.51
CFLAR,marginal,10,0.4
CFLAR,marginal,50,0.26
CFLAR,marginal,100,0.25
CFLAR,residualized,10,0.3
CFLAR,residualized,50,0.16
CFLAR,residualized,100,0.16
CFLAR,irm,10,0.2
CFLAR,irm,50,0.26
CFLAR,irm,100,0.29
CFLAR,within_tissue,10,0.2
CFLAR,within_tissue,50,0.12
CFLAR,within_tissue,100,0.11
CFLAR,dann,10,0.2
CFLAR,dann,50,0.22
CFLAR,dann,100,0.21
CFLAR,adae,10,0.1
CFLAR,adae,50,0.28
CFLAR,adae,100,0.28
CHAF1B,marginal,10,0.1
CHAF1B,marginal,50,0.3
CHAF1B,marginal,100,0.27
CHAF1B,residualized,10,0.1
CHAF1B,residualized,50,0.1
CHAF1B,residualized,100,0.12
CHAF1B,irm,10,0.1
CHAF1B,irm,50,0.3
CHAF1B,irm,100,0.3
CHAF1B,within_tissue,10,0.0
CHAF1B,within_tissue,50,0.08
CHAF1B,within_tissue,100,0.13
CHAF1B,dann,10,0.6
CHAF1B,dann,50,0.26
CHAF1B,dann,100,0.3
CHAF1B,adae,10,0.2
CHAF1B,adae,50,0.18
CHAF1B,adae,100,0.19
CHMP4B,marginal,10,0.7
CHMP4B,marginal,50,0.4
CHMP4B,marginal,100,0.31
CHMP4B,residualized,10,0.2
CHMP4B,residualized,50,0.28
CHMP4B,residualized,100,0.24
CHMP4B,irm,10,0.6
CHMP4B,irm,50,0.24
CHMP4B,irm,100,0.29
CHMP4B,within_tissue,10,0.1
CHMP4B,within_tissue,50,0.2
CHMP4B,within_tissue,100,0.18
CHMP4B,dann,10,0.3
CHMP4B,dann,50,0.32
CHMP4B,dann,100,0.28
CHMP4B,adae,10,1.0
CHMP4B,adae,50,0.72
CHMP4B,adae,100,0.63
COPG1,marginal,10,0.3
COPG1,marginal,50,0.26
COPG1,marginal,100,0.3
COPG1,residualized,10,0.0
COPG1,residualized,50,0.14
COPG1,residualized,100,0.21
COPG1,irm,10,0.0
COPG1,irm,50,0.34
COPG1,irm,100,0.31
COPG1,within_tissue,10,0.0
COPG1,within_tissue,50,0.18
COPG1,within_tissue,100,0.18
COPG1,dann,10,0.3
COPG1,dann,50,0.28
COPG1,dann,100,0.3
COPG1,adae,10,0.2
COPG1,adae,50,0.28
COPG1,adae,100,0.32
CRKL,marginal,10,0.3
CRKL,marginal,50,0.26
CRKL,marginal,100,0.27
CRKL,residualized,10,0.2
CRKL,residualized,50,0.22
CRKL,residualized,100,0.21
CRKL,irm,10,0.2
CRKL,irm,50,0.3
CRKL,irm,100,0.3
CRKL,within_tissue,10,0.1
CRKL,within_tissue,50,0.2
CRKL,within_tissue,100,0.18
CRKL,dann,10,0.2
CRKL,dann,50,0.3
CRKL,dann,100,0.3
CRKL,adae,10,0.8
CRKL,adae,50,0.72
CRKL,adae,100,0.72
CTPS1,marginal,10,0.5
CTPS1,marginal,50,0.4
CTPS1,marginal,100,0.34
CTPS1,residualized,10,0.2
CTPS1,residualized,50,0.24
CTPS1,residualized,100,0.23
CTPS1,irm,10,0.6
CTPS1,irm,50,0.38
CTPS1,irm,100,0.29
CTPS1,within_tissue,10,0.2
CTPS1,within_tissue,50,0.26
CTPS1,within_tissue,100,0.21
CTPS1,dann,10,0.3
CTPS1,dann,50,0.26
CTPS1,dann,100,0.25
CTPS1,adae,10,0.7
CTPS1,adae,50,0.56
CTPS1,adae,100,0.47
DBR1,marginal,10,0.1
DBR1,marginal,50,0.16
DBR1,marginal,100,0.21
DBR1,residualized,10,0.3
