dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,CHMP4B,residualized,int_grad,0.24,0.031465238833523215,1076
depmap,CHMP4B,residualized,lime,0.26,0.025817606027339117,1076
depmap,DDX3X,marginal,shap,0.2,0.0886168879718113,1076
depmap,DDX3X,marginal,grad_x_input,0.2,0.07727445205166536,1076
depmap,DDX3X,marginal,lrp_eps,0.2,0.0742420703507538,1076
depmap,DDX3X,marginal,lrp_ab,0.12,0.09947049049967314,1076
depmap,DDX3X,marginal,int_grad,0.2,0.07872114869607932,1076
depmap,DDX3X,marginal,lime,0.18,0.03750993215500749,1076
depmap,DDX3X,residualized,shap,0.06,0.03457778541896315,1076
depmap,DDX3X,residualized,grad_x_input,0.04,0.033033532434104736,1076
depmap,DDX3X,residualized,lrp_eps,0.04,0.04171594865204934,1076
depmap,DDX3X,residualized,lrp_ab,0.16,0.02277470402167821,1076
depmap,DDX3X,residualized,int_grad,0.06,0.033791040929120594,1076
depmap,DDX3X,residualized,lime,0.1,0.02712205244178101,1076
depmap,YRDC,marginal,shap,0.28,0.10485613519245085,1076
depmap,YRDC,marginal,grad_x_input,0.26,0.09604935693876088,1076
depmap,YRDC,marginal,lrp_eps,0.32,0.09668191740528234,1076
depmap,YRDC,marginal,lrp_ab,0.18,0.268554317441094,1076
depmap,YRDC,marginal,int_grad,0.26,0.09727181431106378,1076
depmap,YRDC,marginal,lime,0.22,0.040498580101806736,1076
depmap,YRDC,residualized,shap,0.26,0.02959808173852678,1076
depmap,YRDC,residualized,grad_x_input,0.26,0.029639071006652792,1076
depmap,YRDC,residualized,lrp_eps,0.26,0.04158290464937278,1076
depmap,YRDC,residualized,lrp_ab,0.3,0.024192073123519196,1076
depmap,YRDC,residualized,int_grad,0.24,0.029953063281098997,1076
depmap,YRDC,residualized,lime,0.24,0.027151265910965876,1076
depmap,HMGCS1,marginal,shap,0.18,0.10006299404403701,1076
depmap,HMGCS1,marginal,grad_x_input,0.22,0.09083512362245276,1076
depmap,HMGCS1,marginal,lrp_eps,0.24,0.09141965603833607,1076
depmap,HMGCS1,marginal,lrp_ab,0.14,0.1930572759582038,1076
depmap,HMGCS1,marginal,int_grad,0.22,0.09233613581538855,1076
depmap,HMGCS1,marginal,lime,0.18,0.03788596781265628,1076
