dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,DDX3X,marginal,shap,0.2,0.0886168879718113,1076
depmap,DDX3X,marginal,grad_x_input,0.2,0.0772744520516653,1076
depmap,DDX3X,marginal,lrp_eps,0.2,0.0742420703507538,1076
depmap,DDX3X,marginal,lrp_ab,0.12,0.0994704904996731,1076
depmap,DDX3X,marginal,int_grad,0.2,0.0787211486960793,1076
depmap,DDX3X,marginal,lime,0.18,0.0375099321550074,1076
depmap,DDX3X,residualized,shap,0.06,0.0345777854189631,1076
depmap,DDX3X,residualized,grad_x_input,0.04,0.0330335324341047,1076
depmap,DDX3X,residualized,lrp_eps,0.04,0.0417159486520493,1076
depmap,DDX3X,residualized,lrp_ab,0.16,0.0227747040216782,1076
depmap,DDX3X,residualized,int_grad,0.06,0.0337910409291205,1076
depmap,DDX3X,residualized,lime,0.1,0.027122052441781,1076
depmap,YRDC,marginal,shap,0.28,0.1048561351924508,1076
depmap,YRDC,marginal,grad_x_input,0.26,0.0960493569387608,1076
depmap,YRDC,marginal,lrp_eps,0.32,0.0966819174052823,1076
depmap,YRDC,marginal,lrp_ab,0.18,0.268554317441094,1076
depmap,YRDC,marginal,int_grad,0.26,0.0972718143110637,1076
depmap,YRDC,marginal,lime,0.22,0.0404985801018067,1076
depmap,YRDC,residualized,shap,0.26,0.0295980817385267,1076
depmap,YRDC,residualized,grad_x_input,0.26,0.0296390710066527,1076
depmap,YRDC,residualized,lrp_eps,0.26,0.0415829046493727,1076
depmap,YRDC,residualized,lrp_ab,0.3,0.0241920731235191,1076
depmap,YRDC,residualized,int_grad,0.24,0.0299530632810989,1076
depmap,YRDC,residualized,lime,0.24,0.0271512659109658,1076
depmap,HMGCS1,marginal,shap,0.18,0.100062994044037,1076
depmap,HMGCS1,marginal,grad_x_input,0.22,0.0908351236224527,1076
depmap,HMGCS1,marginal,lrp_eps,0.24,0.091419656038336,1076
depmap,HMGCS1,marginal,lrp_ab,0.14,0.1930572759582038,1076
depmap,HMGCS1,marginal,int_grad,0.22,0.0923361358153885,1076
depmap,HMGCS1,marginal,lime,0.18,0.0378859678126562,1076
depmap,HMGCS1,residualized,shap,0.06,0.0371537006251772,1076
depmap,HMGCS1,residualized,grad_x_input,0.04,0.0363511074627941,1076
depmap,HMGCS1,residualized,lrp_eps,0.06,0.0562237822455537,1076
