Symbol,variance
OVOL2,3.181865149505246
ARHGAP23,3.1775690439576154
DHRS2,3.1771858619997
FBP1,3.173026855901757
SFRP1,3.1729720300242796
KRT20,3.171832613094903
WNT10A,3.1660451890091714
SERPINA1,3.1646368075831446
PLA2G4A,3.163536715350829
KRT13,3.162861728847468
RFTN1,3.1605993845287723
OAS1,3.1604425030143197
TYRP1,3.16017564794668
CEACAM6,3.1582440532663285
CFD,3.150018348094519
SNCA,3.1468060790524746
PLS1,3.146707801880119
DEPTOR,3.145646695609392
MXRA5,3.142305972657534
MNX1,3.1379421219722334
LAMC2,3.134839521000206
TMEM51,3.13406467866402
EMC10,3.133977219120655
MAGED1,3.1334344277230963
DPYSL3,3.132498982663464
SDPR,3.131398911914577
OASL,3.128992467737504
CASP4,3.12797363001574
MMP14,3.1241673414914395
UPP1,3.123985215003308
AHNAK,3.1228201470828045
MT1A,3.1217676558455207
GLRX,3.1182094626839203
SDC1,3.1159553669797515
DDR2,3.1126804967964934
BMP2,3.1115892004484285
ANKRD22,3.1104994869252596
TRIM2,3.1091682384035955
EFEMP2,3.1078481796751207
LSR,3.1038133631425815
PPAP2B,3.097940961821718
PHGR1,3.0953138969468257
NR0B1,3.0920049048793627
MAGEH1,3.087746456067308
SOX9,3.0758643174071603
CST3,3.073024766049985
SLAIN1,3.066740646016144
FAR2,3.0620134397020102
TNFRSF21,3.0610406279451476
PRRX1,3.0564897365197607
CYFIP2,3.055673650319293
KRTAP2-3,3.0544654362677144
THSD7A,3.0531131608142976
CHST11,3.053024867470078
Unnamed: 17154,3.0521040081640813
RASGEF1A,3.051901511247773
IL18,3.051607303892138
SLC16A3,3.049345557904674
SERPINI1,3.0481579974100215
ISL1,3.0421506157945735
TLE1,3.0399800066757234
PDGFC,3.0394613317552124
PCLO,3.0390513490732602
DYNLT3,3.0389177705482147
COL16A1,3.038434011241744
GALNT14,3.037509294472137
RNF130,3.0321996194305694
CD99,3.028686647601504
NFIB,3.0266704166055347
FOXG1,3.026070721422994
FAM134B,3.025365443917927
MT1E,3.0251243157607
NLRP2,3.023521215252488
PRKCDBP,3.019540129598039
MPZL2,3.0157083574009054
COL18A1,3.013525570563024
KCNMB4,3.0055571531567753
PCOLCE2,2.9988442136580495
ELF3,2.9963296030386872
ST6GAL1,2.995139294689532
CDK6,2.99050185310622
SERINC2,2.9893857124298893
AVPI1,2.9852735738856615
RGS13,2.985027367535434
TCL1A,2.9801952207090343
DOCK10,2.978259585258219
THBS2,2.9781843797593233
NAPRT1,2.972786364892427
STAMBPL1,2.971976866390715
PITX2,2.9716097586485106
EVI2B,2.970159924436219
STOM,2.9689910540072963
PRDX2,2.9685312753741115
NRIP1,2.967895901047515
CMTM3,2.9668368456472485
BDNF,2.9578770169158717
GOLT1A,2.9525399689864824
FZD2,2.9515703112386418
PCDHB2,2.9408669820026923
FAM46A,2.939576474634137
ZIC2,2.9336247688706676
HPGD,2.9333580617013673
ICAM1,2.9294660598247564
PMAIP1,2.926027505519021
BIK,2.9257072842085985
UGT2B7,2.9247403242126766
CD38,2.919610987673977
LTBR,2.917111827639819
TOR4A,2.916263709794809
ZG16B,2.910812810916324
FGF13,2.905489088295313
EXT1,2.9031402004798075
ELAVL4,2.900122157496532
CNKSR3,2.891419203297544
NETO2,2.890529026363
EPB41L2,2.888495164119114
FOXF2,2.8877368342661303
DCT,2.8842253064776653
NTN4,2.88355435566492
GULP1,2.8814655190928797
SIX4,2.8813586100378465
KIAA1324L,2.87915929940705
TSPAN12,2.8788289228924264
CFH,2.8786779748794675
MYBL1,2.8755703165831323
MT1G,2.8752056032377404
TNFRSF17,2.874694228155542
CSRP2,2.8745293524532873
EFNA1,2.874073952971616
ANXA2,2.873850061260541
SRPX2,2.872882539928922
HLA-DRB1,2.868712565597939
IRS2,2.8676916903223764
TGIF1,2.863547119273111
COL5A2,2.86352786667277
FAM43A,2.863227581492131
GOLGA8A,2.8618983958326614
MLANA,2.8563243887648295
DUSP2,2.856226659174643
FAM129B,2.8518125067827285
COPZ2,2.851591341295681
HOXC4,2.8506301831268117
CDCA7L,2.8476701730615392
DNAJC12,2.8466302609953447
KCNS3,2.8431885694395795
MOK,2.842067975219739
SULF1,2.8412666674276847
PIK3AP1,2.8402235720022246
VSNL1,2.8388488086391703
TMEM246,2.8367522624412924
STEAP1B,2.8360342032290276
GSTT1,2.835122590288241
LMO2,2.8336140267466448
TUSC1,2.831391242936264
PRICKLE1,2.8313586474662107
RTN1,2.8306385753398597
OLFM1,2.8279035177664857
NOL4,2.8259280012074366
NUDT11,2.825766422282175
FUCA2,2.816654759927432
TXLNG2P,2.8136285286352414
NDN,2.811334041793107
LY86,2.804776033710116
Unnamed: 17697,2.8044630087288205
NMI,2.804267137866122
DNAJC15,2.798508193507119
KCNMA1,2.7982546350967574
FRMD6,2.797594015632554
KLF4,2.797529443877235
MT1F,2.7970819038282166
CST7,2.7906858464654776
GBP3,2.7895381596969577
FAS,2.7874116943942213
TSPO,2.782796702484226
DCDC2,2.780902023116867
HSPB8,2.7807527125518834
TYR,2.7802187596248635
PKIB,2.7801583459966546
FAM101B,2.7791568791497148
TSPAN7,2.778777868392236
MSL3P1,2.778395901644389
ETS2,2.773525264674032
A2M,2.7717863893832884
INPP1,2.7714070396583077
RBM47,2.766653981661572
NRIP3,2.758202337375422
SOCS2,2.758114250815786
SOX4,2.7566281592699955
HES4,2.7562017657440903
CDKN2C,2.7551648189145346
PROS1,2.7549054160300632
ST3GAL6,2.7533705704533604
LGALS4,2.7533257200399652
FOXC1,2.748732986637761
GRB10,2.748703166481428
ABCC3,2.7474546715959782
RGS5,2.744001635665341
ARNTL2,2.741957098027944
PTGFRN,2.741825037754538
AZGP1,2.7414927855737323
IRX2,2.740845285874903
CBS,2.7356828649156673
SAT1,2.733671253781933
TGFB1I1,2.732400378470133
PLCB4,2.7312322858328293
GNAI1,2.7302660454185697
ALX1,2.7299548247299277
VLDLR,2.729829224041634
CDCP1,2.729091885787093
MARC1,2.728209277416736
RAB13,2.726000288177749
SKAP2,2.7258628813260994
AP1S2,2.725533641723313
CFI,2.7251458318737507
PCDH9,2.7234798458720473
PDGFRA,2.7199443500994893
BCAR3,2.7182500651477075
TTC28,2.7150319939264658
HLA-E,2.7123000020150148
CD302,2.712092092061571
MX2,2.7112056431979026
WASF3,2.7107843571880608
LARP6,2.710330546294724
HOPX,2.7058776395483255
FAT3,2.7049539275127876
MECOM,2.6979287308097177
ABLIM1,2.6962108602412105
WIPI1,2.6949971657487635
FOXA1,2.684439941720834
NID2,2.6841303109758714
RBP7,2.6791749744633178
SOX11,2.6791264339203513
FADS1,2.6754170574288043
SAMD5,2.673497886396103
CXXC5,2.673250854554036
TBC1D8,2.6724021995307385
EYA4,2.6687326765564015
XAF1,2.668458984101324
SACS,2.6680651846034587
FZD6,2.666324670361805
NCF2,2.6643879785611344
DSG3,2.6640321802721996
GPX1,2.6638774396556113
POU3F2,2.6635551753346247
ARMCX1,2.6621905729562543
GBP2,2.6602824182212226
MAB21L1,2.6585515714103205
CTBP2,2.657841815424188
DKK3,2.657588854941278
RHOV,2.657216078467851
BEX5,2.656068747965608
ARID5B,2.6480425240756893
LAT2,2.6476478062266517
DHRS9,2.647614252711764
SLC7A7,2.6472060670902864
MAFB,2.6469473048527656
OLFML3,2.6464674123787457
FAM107B,2.6420281462049466
FAM83A,2.6411491063224504
TSPAN5,2.639778650052324
EMB,2.6392585819593095
CTH,2.6362303757934638
RAI14,2.63608685375069
EPHA2,2.634583339345925
ZFP82,2.63431140670855
BAIAP2L1,2.6270054406473298
CDH13,2.626655684284888
GALNT5,2.6220657778283702
TNNC1,2.618068514780601
HYI,2.6177712839210225
TGM2,2.616375115521785
TRNP1,2.615874473955087
FXYD5,2.6124127913970914
FOXF1,2.611747655339155
DUSP1,2.610031520905715
GATM,2.608254077622855
WLS,2.607172421096727
GPR18,2.6058297627324616
HGD,2.6034908744422594
ARHGAP30,2.6030943053202247
RHOF,2.5981496802981634
CRISPLD1,2.5959506225784184
FAM127B,2.594882997450843
NRXN3,2.591867762261015
TCEAL4,2.5888693818237605
ZNF711,2.587896476873101
PTPRF,2.587870448879496
CYBRD1,2.587614488160274
MOXD1,2.586372607783289
MME,2.5853294280856653
CTSB,2.5852895753140137
PRR15L,2.5830554435250637
PLEKHA1,2.582252503794025
IL17RB,2.5806077931066183
PRNP,2.5783637148223364
JUN,2.5773063598573835
EVI2A,2.5766136832952964
GSTO2,2.5763432368863493
IMPA2,2.5759202462738195
CADM1,2.5758209286488443
DDX60L,2.575023475413076
IL7R,2.5746189654892673
RIN2,2.574557606349031
LITAF,2.5711493506083976
CXCR7,2.5692928169228972
OPN3,2.5673096444029664
CRYAB,2.567279916360441
PRSS8,2.567115663212033
FERMT1,2.566595022022686
GUCY1B3,2.56273162373899
ZNF467,2.5607334218400872
LAMC1,2.5603435558209235
MYL9,2.5591390810047776
EAF2,2.5579229080988672
CDA,2.556606323410168
NPDC1,2.556348731375804
FKBP1B,2.5549836277103033
FAM174B,2.5537407937822714
RHOU,2.5523268310446086
LYPD6B,2.550318841516582
CHCHD10,2.5500168452521694
ADSSL1,2.5476861863051945
LRRN3,2.547557754415981
CBR3,2.5471893934711622
CELF2,2.545856472980219
MLPH,2.5449817436525346
