dataset,variant,n_items,method,eta2_mean,eta2_median,eta2_q90,contam@10,contam@10_sem,contam@50,contam@50_sem,contam@100,contam@100_sem,eta2_mean_vs_marginal,contam@10_vs_marginal,contam@50_vs_marginal,contam@100_vs_marginal
depmap,marginal,170,adae,0.11634650309408102,0.08916365114596031,0.23193569668154884,0.538235294117647,0.02153318502613658,0.4796470588235294,0.013728482925018857,0.4323529411764706,0.010370207574346329,0.18703985785939103,1.4078947368421049,0.948852772466539,0.7944335937499998
ctrpv2,marginal,330,marginal,0.1269969055254813,0.1049570527104038,0.23893665125648245,0.28090909090909094,0.009329421576964862,0.2881212121212121,0.0058941533777846855,0.28706060606060607,0.004868775184364225,0.0,0.0,0.0,0.0
ctrpv2,marginal,330,residualized,0.043222679093550036,0.03484800845825805,0.0800626528270457,0.09939393939393938,0.005291431940767839,0.12115151515151516,0.0029222878490733437,0.13772727272727273,0.002092974459584363,-0.6596556513349247,-0.6461704422869472,-0.5795119899032393,-0.5202153488863085
ctrpv2,marginal,330,irm,0.12005696387493577,0.09890314407188724,0.22565974596778055,0.27,0.00920181952364982,0.27460606060606063,0.005714975494329802,0.2726363636363636,0.004755615891304832,-0.05464654136122282,-0.03883495145631077,-0.046907867059318376,-0.05024807347197302
ctrpv2,marginal,330,within_tissue,0.031432387161003134,0.025402497893556503,0.06092067581544215,0.11363636363636363,0.006401157820194568,0.16090909090909092,0.0049312555892714344,0.18118181818181817,0.004704826048331577,-0.7524948578003234,-0.5954692556634305,-0.44152292806058047,-0.36883774939301184
ctrpv2,marginal,330,dann,0.13242901668453624,0.11032426145275435,0.24916364572206007,0.2178787878787879,0.007939925467366138,0.23606060606060608,0.004895969236377157,0.23484848484848486,0.003974963583588878,0.04277357102976831,-0.22437971952535063,-0.18068994530921323,-0.1818853583869946
ctrpv2,marginal,330,adae,0.12666246519216426,0.09709301169503634,0.2575444034178388,0.25303030303030305,0.010540329745185198,0.28993939393939394,0.007515418916289644,0.29057575757575754,0.0063430169416809805,-0.0026334526178665163,-0.09924487594390508,0.006310475389146086,0.012245328829304292
depmap,all4,138,marginal,0.09665337021388848,0.0787756454485479,0.18147326514612053,0.22391304347826085,0.01456569500172956,0.24318840579710146,0.007185697493174371,0.23644927536231886,0.004759975327493893,0.0,0.0,0.0,0.0
depmap,all4,138,residualized,0.03247640342563808,0.0280461600831379,0.05550426998688393,0.1528985507246377,0.011462042970378583,0.17202898550724638,0.006372013331852001,0.17289855072463767,0.004407329347659938,-0.6639909880662245,-0.31715210355987045,-0.29261025029797383,-0.26877106956788244
depmap,all4,138,irm,0.08800209536578571,0.07100041370066484,0.16493399142761941,0.23333333333333336,0.01509283425192887,0.24,0.007075180745927157,0.2351449275362319,0.004822278409636716,-0.08950825852174615,0.042071197411003514,-0.013110846245530494,-0.0055163959546429275
depmap,all4,138,within_tissue,0.01893045076796923,0.0171281124709192,0.03359959393466502,0.10507246376811594,0.009720654736019388,0.13405797101449277,0.0054827636219225515,0.14405797101449275,0.004173632405906911,-0.8041408103403201,-0.5307443365695792,-0.4487485101311084,-0.39074471345387685
depmap,all4,138,dann,0.1069370439188451,0.0895845452436118,0.19879543431661398,0.2282608695652174,0.01313089995483997,0.2346376811594203,0.005702671615971691,0.23318840579710146,0.0038359812313488893,0.10639746635010705,0.019417475728155553,-0.03516090584028608,-0.01379098988660743
depmap,all4,138,adae,0.11730938257190163,0.0897580097953266,0.2351191200815047,0.532608695652174,0.023094080473644273,0.47478260869565225,0.014845449223583582,0.42927536231884056,0.01095784874789942,0.2137122824822617,1.3786407766990294,0.9523241954707988,0.8155072019613849
ctrpv2,all4,226,marginal,0.12200113026919678,0.0995386480257726,0.2318214696869775,0.27389380530973456,0.01103848051772371,0.27876106194690264,0.007038108232999309,0.2762389380530973,0.005818802968915061,0.0,0.0,0.0,0.0
ctrpv2,all4,226,residualized,0.036067956375922874,0.03070705737349005,0.06419413835097515,0.1101769911504425,0.006676383656493378,0.12876106194690265,0.0035539198167400675,0.14353982300884954,0.0024569774685739487,-0.7043637522346018,-0.5977382875605817,-0.5380952380952381,-0.4803780233861925
ctrpv2,all4,226,irm,0.11500333169510112,0.0932491530616871,0.2187447989281571,0.2588495575221239,0.010741716879223148,0.26761061946902653,0.006928926632426352,0.2658849557522124,0.005651764212949088,-0.057358473308033675,-0.05492730210016161,-0.040000000000000036,-0.03748197981739532
ctrpv2,all4,226,within_tissue,0.027690752936115923,0.0230235162397106,0.052872455287348664,0.11017699115044247,0.007765735344105536,0.1579646017699115,0.005904956364941365,0.17460176991150442,0.005612554685189147,-0.773028718053546,-0.5977382875605817,-0.43333333333333335,-0.367932083934006
ctrpv2,all4,226,dann,0.12708798070138105,0.10462274244451575,0.24194923051328338,0.22123893805309736,0.009673177643851122,0.2363716814159292,0.005793945876964416,0.23362831858407085,0.004848997663784106,0.04169510906136753,-0.19224555735056548,-0.152063492063492,-0.15425276309466573
ctrpv2,all4,226,adae,0.12229388822300158,0.09201893774543325,0.2522094748439155,0.2584070796460177,0.013086976682028588,0.293716814159292,0.009212319010741942,0.29336283185840706,0.007619315422537268,0.002399633127650791,-0.056542810985460545,0.05365079365079373,0.061989428159538784
