target,r_wt_baseline,r_wt_between_tissue,r_wt_irm,r_wt_marginal,r_wt_residualized,r_wt_within_tissue,sig_marginal,sig_residualized,sig_irm,sig_within_tissue,in_a61,in_marginal,in_all4
CHMP4B,-0.2791064621659002,-0.2787210743863242,0.2516617354213508,0.343612379213302,0.3455690632880537,0.343612379213302,True,True,True,True,True,True,True
COPG1,-0.2749117212140513,-0.2747169783995745,0.226800690134972,0.3367947794789765,0.3022528206138397,0.3367947794789765,True,True,True,True,True,True,True
CRKL,-0.2676639267940842,-0.266801721636021,0.1564683214802081,0.3143813936633476,0.2595022863804895,0.3143813936633476,True,True,True,True,True,True,True
CTPS1,-0.2564540565491301,-0.2559644550949518,0.1498680650516258,0.3029019772196943,0.2432393494453715,0.3029019772196943,True,True,True,True,True,True,True
DBR1,-0.2798866854852875,-0.2793545908737913,0.0477029559448571,0.0591879316643101,0.0378834888409304,0.0591879316643101,True,False,False,True,False,True,False
DDX3X,-0.2887316305112936,-0.2886902979838905,0.0628947035233688,0.0890361756946893,0.0037618818749225,0.0890361756946893,True,False,True,True,False,True,False
DHFR,-0.2640148673373719,-0.263562202240973,0.1289539148617103,0.2120131681921482,0.1992572312615602,0.2120131681921482,True,True,True,True,True,True,True
DNAJC9,-0.2777429253924129,-0.2772788593763941,0.1500558836685807,0.2390904632511835,0.1834755538656914,0.2390904632511835,True,True,True,True,True,True,True
DNM2,-0.2859229580553157,-0.2855476405994089,0.1191935548026518,0.1977414825579892,0.1913635717274605,0.1977414825579892,True,True,True,True,True,True,True
DONSON,-0.2761839240590651,-0.2760907928215871,0.0369088212068001,0.0704897819364839,-0.0221461668880294,0.0704897819364839,True,False,False,True,False,True,False
DPAGT1,-0.2608190008121629,-0.2600104478621248,0.0768380058329227,0.1415495461975631,0.0582290047189265,0.1415495461975631,True,True,True,True,True,True,True
DTYMK,-0.2672726150100941,-0.2668402556665908,0.2002434323066313,0.2932890952513524,0.2861773205325764,0.2932890952513524,True,True,True,True,True,True,True
DUT,-0.2723783359788335,-0.2722031978520356,0.054814471565436,0.0981369408601094,-0.0042055661382363,0.0981369408601094,True,False,True,True,False,True,False
DYNLRB1,-0.2692889436582907,-0.2685147741042811,0.0634087123088744,0.1024764346869486,0.0126403289756959,0.1024764346869486,True,False,True,True,False,True,False
