dataset,seed,item,method,n_cells,n_tissues,n_eff_foldsym,wt_tissue,wt_tissue_recon,wt_foldsym,wt_foldsym_stripped
ctrpv2,2,AZD-7545,dann,413,22,392,0.054288766323785695,0.054288766323785695,0.059326196260834185,0.059326196260834185
ctrpv2,2,AZD-7545,adae,413,22,392,0.05002460505926618,0.05002460505926618,0.11233846523320515,0.11233846523320515
ctrpv2,2,AZD1480,baseline,304,23,279,-0.502554144628362,-0.502554144628362,,
ctrpv2,2,AZD1480,marginal,304,23,279,0.17248840409651128,0.17248840409651128,0.2349729521558321,0.2349729521558321
ctrpv2,2,AZD1480,residualized,304,23,279,0.1672421628072184,-0.0926872597789879,0.24112619360153584,0.24112619360153587
ctrpv2,2,AZD1480,irm,304,23,279,0.11272693022060236,0.11272693022060236,0.24105007103088494,0.24105007103088494
ctrpv2,2,AZD1480,dann,304,23,279,0.13577180800196142,0.13577180800196142,0.20626286651446105,0.20626286651446105
ctrpv2,2,AZD1480,adae,304,23,279,0.14261889488996946,0.14261889488996946,0.26995790585074914,0.26995790585074914
ctrpv2,2,AZD4547,baseline,694,23,679,-0.34166363810287487,-0.34166363810287487,,
ctrpv2,2,AZD4547,marginal,694,23,679,0.10379358282653951,0.10379358282653951,0.1374177732535027,0.1374177732535027
ctrpv2,2,AZD4547,residualized,694,23,679,0.1543388091157293,0.03223251806326294,0.16795193698132044,0.16795193698132044
ctrpv2,2,AZD4547,irm,694,23,679,0.09330794028725004,0.09330794028725004,0.10562854047243385,0.10562854047243385
ctrpv2,2,AZD4547,dann,694,23,679,0.1279802568620895,0.1279802568620895,0.15764927031844925,0.15764927031844925
ctrpv2,2,AZD4547,adae,694,23,679,0.1556394164836065,0.1556394164836065,0.2096898713355512,0.2096898713355512
ctrpv2,2,AZD6482,baseline,692,22,685,-0.30735179333509693,-0.30735179333509693,,
ctrpv2,2,AZD6482,marginal,692,22,685,0.20211616303972574,0.20211616303972574,0.25362227161769174,0.25362227161769174
ctrpv2,2,AZD6482,residualized,692,22,685,0.2150651692276496,0.13040984914613635,0.21378076649789834,0.2137807664978984
ctrpv2,2,AZD6482,irm,692,22,685,0.12961946266487578,0.12961946266487578,0.21032340959414453,0.21032340959414453
ctrpv2,2,AZD6482,dann,692,22,685,0.17000553995694148,0.17000553995694148,0.23119776642755133,0.23119776642755133
ctrpv2,2,AZD6482,adae,692,22,685,0.12484632071107805,0.12484632071107805,0.1478206606424638,0.1478206606424638
ctrpv2,2,AZD7762,baseline,789,23,780,-0.3257842529775441,-0.3257842529775441,,
ctrpv2,2,AZD7762,marginal,789,23,780,0.285919842743052,0.285919842743052,0.319635955188177,0.319635955188177
ctrpv2,2,AZD7762,residualized,789,23,780,0.25729904361894307,0.17495488071293547,0.29911174697011117,0.29911174697011117
ctrpv2,2,AZD7762,irm,789,23,780,0.1033526264566954,0.1033526264566954,0.2300019728176448,0.2300019728176448
ctrpv2,2,AZD7762,dann,789,23,780,0.28341785482326654,0.28341785482326654,0.32978334197589554,0.32978334197589554
ctrpv2,2,AZD7762,adae,789,23,780,0.2033476688942408,0.2033476688942408,0.25204034558714977,0.25204034558714977
ctrpv2,2,AZD8055,baseline,660,22,650,-0.2974426541122384,-0.2974426541122384,,
ctrpv2,2,AZD8055,marginal,660,22,650,0.16805762345166259,0.16805762345166259,0.23281763970950514,0.23281763970950514
ctrpv2,2,AZD8055,residualized,660,22,650,0.21526759595710582,0.14289536352135832,0.23547038728344266,0.23547038728344266
ctrpv2,2,AZD8055,irm,660,22,650,0.11687418150118706,0.11687418150118706,0.1926879188157063,0.1926879188157063
ctrpv2,2,AZD8055,dann,660,22,650,0.11043105379701569,0.11043105379701569,0.17409511573944417,0.17409511573944417
ctrpv2,2,AZD8055,adae,660,22,650,0.17343631473473647,0.17343631473473647,0.22455788977590974,0.22455788977590974
ctrpv2,2,Aacocf3,baseline,624,22,616,-0.374016975026668,-0.374016975026668,,
ctrpv2,2,Aacocf3,marginal,624,22,616,0.10915295421611723,0.10915295421611723,0.13403327891772213,0.13403327891772213
ctrpv2,2,Aacocf3,residualized,624,22,616,0.1206522785738277,0.0019167641264065632,0.15941182279482946,0.15941182279482943
ctrpv2,2,Aacocf3,irm,624,22,616,0.06302954723150739,0.06302954723150739,0.11781664761817169,0.11781664761817169
