dataset,seed,item,method,mse,wt_mse,mse_noaddback
ctrpv2,4,HC-067047,marginal,1.0358936488545971,0.9392776222722922,1.0358936488545971
ctrpv2,4,HC-067047,residualized,0.6360049171698745,0.5583620121127878,14.820981013865412
ctrpv2,4,HC-067047,irm,1.427570850821443,1.0267265641103418,1.427570850821443
ctrpv2,4,HLI_373,baseline,0.4789846799658579,0.47857765626563686,0.4789846799658579
ctrpv2,4,HLI_373,marginal,0.6297376075556609,0.5708647371156842,0.6297376075556609
ctrpv2,4,HLI_373,residualized,0.4538245473179875,0.39853717073144795,8.356908374165823
ctrpv2,4,HLI_373,irm,0.7626237337040321,0.6133716951011225,0.7626237337040321
ctrpv2,4,HMS3654N14,baseline,2.0518771659720874,2.0499507469915326,2.0518771659720874
ctrpv2,4,HMS3654N14,marginal,2.0149398503107063,1.9654357185397706,2.0149398503107063
ctrpv2,4,HMS3654N14,residualized,2.201532429248084,1.991007123307273,2.4082494507778827
ctrpv2,4,HMS3654N14,irm,2.2019003629988703,2.0093570180062117,2.2019003629988703
ctrpv2,4,I-BET-151,baseline,2.678159451232794,2.624103824536135,2.678159451232794
ctrpv2,4,I-BET-151,marginal,2.685293039212174,2.553117804830392,2.685293039212174
ctrpv2,4,I-BET-151,residualized,2.85556729285256,2.56871756680249,6.314063636515737
ctrpv2,4,I-BET-151,irm,3.226667259301458,2.7100338392852796,3.226667259301458
ctrpv2,4,I-BET-762,baseline,1.9939623233056039,1.9870332916067384,1.9939623233056039
ctrpv2,4,I-BET-762,marginal,2.0096028229295477,1.7793415989090153,2.0096028229295477
ctrpv2,4,I-BET-762,residualized,2.075547184694625,1.7128178697590133,5.800629871515155
ctrpv2,4,I-BET-762,irm,2.2591876560292365,1.754350260720299,2.2591876560292365
ctrpv2,4,IC-87114,baseline,1.0608289910853015,1.0265457427597278,1.0608289910853015
ctrpv2,4,IC-87114,marginal,2.891541424052079,1.9907060360443143,2.891541424052079
ctrpv2,4,IC-87114,residualized,1.1210839320367811,0.808836190020144,27.699336620739235
ctrpv2,4,IC-87114,irm,3.6036157686795858,1.711152327202674,3.6036157686795858
ctrpv2,4,ICG-001,baseline,1.0091092095760377,1.0082116994664134,1.0091092095760377
ctrpv2,4,ICG-001,marginal,1.037659695823963,0.9760755627022417,1.037659695823963
ctrpv2,4,ICG-001,residualized,0.9615405813716361,0.869695349835026,8.39046706378631
ctrpv2,4,ICG-001,irm,1.365986581092278,1.157589457652205,1.365986581092278
ctrpv2,4,IPR-456,baseline,0.765132702233432,0.758932036825334,0.765132702233432
ctrpv2,4,IPR-456,marginal,1.9589403528026204,1.6927753794525617,1.9589403528026204
ctrpv2,4,IPR-456,residualized,0.8074454742178347,0.6460627982587676,21.005096991795774
ctrpv2,4,IPR-456,irm,2.429983848577533,1.2335113362312164,2.429983848577533
ctrpv2,4,ISOX-bortezomib_(250-1_mol-mol),baseline,0.37438829289554265,0.37388317448511726,0.37438829289554265
ctrpv2,4,ISOX-bortezomib_(250-1_mol-mol),marginal,0.3622213352171191,0.3442782425681262,0.3622213352171191
ctrpv2,4,ISOX-bortezomib_(250-1_mol-mol),residualized,0.36972138346766414,0.34339657324866485,0.7332289643215795
ctrpv2,4,ISOX-bortezomib_(250-1_mol-mol),irm,0.4949499483199128,0.3593961209010531,0.4949499483199128
ctrpv2,4,IU1,baseline,0.26360534952169085,0.263477089883115,0.26360534952169085
ctrpv2,4,IU1,marginal,0.661516992355751,0.5768166332678021,0.661516992355751
ctrpv2,4,IU1,residualized,0.25967092163364386,0.2388807216001256,19.61753282622893
ctrpv2,4,IU1,irm,0.9392772763633321,0.6494516723471612,0.9392772763633321
ctrpv2,4,Ibrutinib,baseline,2.0331791020192704,2.032333589952405,2.0331791020192704
ctrpv2,4,Ibrutinib,marginal,2.3864660423743778,2.2011223329023784,2.3864660423743778
ctrpv2,4,Ibrutinib,residualized,2.086615147047172,1.9236615052518717,10.168363449651455
ctrpv2,4,Ibrutinib,irm,2.418546871980591,2.1059822001979804,2.418546871980591
ctrpv2,4,Idelalisib,baseline,1.8494025212272542,1.8476865999958132,1.8494025212272542
ctrpv2,4,Idelalisib,marginal,2.073721866932402,2.000677852057316,2.073721866932402
ctrpv2,4,Idelalisib,residualized,1.9537958282161112,1.8436715916538735,18.488481288829355
ctrpv2,4,Idelalisib,irm,2.539339404595735,2.282604613998823,2.539339404595735
ctrpv2,4,Imatinib,baseline,1.1066748933424428,1.1064377820579891,1.1066748933424428
ctrpv2,4,Imatinib,marginal,1.2474349916896612,1.1682495804520978,1.2474349916896612
ctrpv2,4,Imatinib,residualized,0.9889849065164018,0.9305314542135266,13.206240883444895
ctrpv2,4,Imatinib,irm,1.4691664123806962,1.3124251527958477,1.4691664123806962
ctrpv2,4,JQ-1-MK-0752_(1-1_mol-mol),baseline,3.9254110575160137,3.9123657121114457,3.9254110575160137
ctrpv2,4,JQ-1-MK-0752_(1-1_mol-mol),marginal,3.5690875329937257,3.3358175919324276,3.5690875329937257
ctrpv2,4,JQ-1-MK-0752_(1-1_mol-mol),residualized,3.9298395309753986,3.3587606387328592,5.589179726845216
ctrpv2,4,JQ-1-MK-0752_(1-1_mol-mol),irm,4.001258580469051,3.431059873765477,4.001258580469051
ctrpv2,4,JQ-1-UNC0638_(2-1_mol-mol),baseline,1.8865329257989796,1.8853762211110747,1.8865329257989796
ctrpv2,4,JQ-1-UNC0638_(2-1_mol-mol),marginal,1.7925332178051987,1.7182461526304822,1.7925332178051987
ctrpv2,4,JQ-1-UNC0638_(2-1_mol-mol),residualized,1.849779445698019,1.7091830504340002,4.113013290475412
ctrpv2,4,JQ-1-UNC0638_(2-1_mol-mol),irm,2.0583097356699644,1.8934225028883007,2.0583097356699644
ctrpv2,4,JQ-1-carboplatin_(1-1_mol-mol),baseline,3.056654926213693,3.042702334985519,3.056654926213693
ctrpv2,4,JQ-1-carboplatin_(1-1_mol-mol),marginal,2.7908744256942164,2.7364716886874048,2.7908744256942164
ctrpv2,4,JQ-1-carboplatin_(1-1_mol-mol),residualized,3.0318527725261424,2.6636373320463944,6.167811014449356
ctrpv2,4,JQ-1-carboplatin_(1-1_mol-mol),irm,3.438100743447877,3.0389755030103265,3.438100743447877
ctrpv2,4,JQ-1-navitoclax_(2-1_mol-mol),baseline,1.9529149456029204,1.9492344961958115,1.9529149456029204
ctrpv2,4,JQ-1-navitoclax_(2-1_mol-mol),marginal,1.8675925821857873,1.809318158092341,1.8675925821857873
ctrpv2,4,JQ-1-navitoclax_(2-1_mol-mol),residualized,1.9262356307945772,1.7542680877818098,2.3307965697344226
ctrpv2,4,JQ-1-navitoclax_(2-1_mol-mol),irm,2.1394068241190007,1.7990960165811383,2.1394068241190007
ctrpv2,4,JQ-1-vorinostat_(2-1_mol-mol),baseline,1.068599578475492,1.0676132864638626,1.068599578475492
ctrpv2,4,JQ-1-vorinostat_(2-1_mol-mol),marginal,1.0098299850017924,0.9770206674099281,1.0098299850017924
ctrpv2,4,JQ-1-vorinostat_(2-1_mol-mol),residualized,1.0543994382391777,0.966904429484209,2.0122809131183104
ctrpv2,4,JQ-1-vorinostat_(2-1_mol-mol),irm,1.3283331077631926,1.0601080728267778,1.3283331077631926
ctrpv2,4,JQ-1,baseline,3.0303524913888316,3.0279960707591904,3.0303524913888316
ctrpv2,4,JQ-1,marginal,2.948832330872735,2.886817111581024,2.948832330872735
ctrpv2,4,JQ-1,residualized,2.954394443091107,2.763232173731606,6.084140763474418
ctrpv2,4,JQ-1,irm,3.235423411737385,2.924035672424114,3.235423411737385
ctrpv2,4,JQ12,baseline,2.339028684371009,2.3346907850174303,2.339028684371009
ctrpv2,4,JQ12,marginal,2.151100776395337,2.050055051586582,2.151100776395337
ctrpv2,4,JQ12,residualized,2.2344320669370634,1.9517430757767908,7.271558510063424
ctrpv2,4,JQ12,irm,2.5816969278462527,2.111477445502311,2.5816969278462527
ctrpv2,4,JW-480,baseline,0.5006740302756794,0.49300867258354114,0.5006740302756794
ctrpv2,4,JW-480,marginal,1.145752476234616,1.027020636032104,1.145752476234616
ctrpv2,4,JW-480,residualized,0.5236876726426491,0.4248607578577984,19.207476274531043
ctrpv2,4,JW-480,irm,1.5656916879616603,0.987658311260892,1.5656916879616603
ctrpv2,4,JW-74,baseline,0.5517002991745572,0.5453253591831735,0.5517002991745572
ctrpv2,4,JW-74,marginal,1.2206921753207827,1.0565594062501789,1.2206921753207827
ctrpv2,4,JW-74,residualized,0.5515203233680047,0.4324604934287655,17.13305550728523
ctrpv2,4,JW-74,irm,1.6249536142317313,0.9884760735711368,1.6249536142317313
ctrpv2,4,KHS101,baseline,0.41098304875259456,0.41037636320462323,0.41098304875259456
ctrpv2,4,KHS101,marginal,0.466468797112406,0.4313316308267325,0.466468797112406
ctrpv2,4,KHS101,residualized,0.37971471850169797,0.35603789468756764,6.2013729067234475
ctrpv2,4,KHS101,irm,0.6246534084809781,0.5030799705309132,0.6246534084809781
ctrpv2,4,KPT185,baseline,3.407546318688947,3.3860359666612982,3.407546318688947
ctrpv2,4,KPT185,marginal,2.7104714743250824,2.6171993586549345,2.7104714743250824
ctrpv2,4,KPT185,residualized,2.9362435793507076,2.5956159165272723,4.072459077984876
ctrpv2,4,KPT185,irm,3.192689229814347,2.825436379862985,3.192689229814347
ctrpv2,4,KU-0063794,baseline,1.5481167150106636,1.5312490418431697,1.5481167150106636
ctrpv2,4,KU-0063794,marginal,1.4346944420120284,1.3993458428529668,1.4346944420120284
ctrpv2,4,KU-0063794,residualized,1.5567576368522151,1.3176522227970124,3.331928878885801
ctrpv2,4,KU-0063794,irm,1.584340998346899,1.3244213983495934,1.584340998346899
ctrpv2,4,KU-55933,baseline,0.29030078255726505,0.29008125751322816,0.29030078255726505
ctrpv2,4,KU-55933,marginal,0.530819319245297,0.4770848785265244,0.530819319245297
ctrpv2,4,KU-55933,residualized,0.3006507306401868,0.28278861859044957,12.579198126126524
ctrpv2,4,KU-55933,irm,0.719712473738522,0.5638244912458278,0.719712473738522
ctrpv2,4,KU-60019,baseline,0.6986089371918157,0.6956969569980245,0.6986089371918157
ctrpv2,4,KU-60019,marginal,0.9553215588410711,0.9031242404618003,0.9553215588410711
ctrpv2,4,KU-60019,residualized,0.7503117891522777,0.6803293346423597,12.648633419642684
ctrpv2,4,KU-60019,irm,1.1218051524456631,0.9080085945080811,1.1218051524456631
ctrpv2,4,KU_0060648,baseline,0.9391203150084312,0.9384599320924515,0.9391203150084312
ctrpv2,4,KU_0060648,marginal,0.9356068022142789,0.8999419508551677,0.9356068022142789
ctrpv2,4,KU_0060648,residualized,0.9404553973128958,0.8573136477751644,2.5838799033951605
ctrpv2,4,KU_0060648,irm,1.0891396618495777,0.9658394174147643,1.0891396618495777
ctrpv2,4,KW-2449,baseline,0.7990997136050955,0.7978956130105881,0.7990997136050955
ctrpv2,4,KW-2449,marginal,0.8512434904988969,0.8158948132046048,0.8512434904988969
ctrpv2,4,KW-2449,residualized,0.7507066477654863,0.7151663768638401,7.573161962224962
ctrpv2,4,KW-2449,irm,1.1141188419481478,0.9489649959824634,1.1141188419481478
ctrpv2,4,KX2-391,baseline,4.519376650102928,4.505763893704831,4.519376650102928
ctrpv2,4,KX2-391,marginal,4.228508795200519,4.056507683880642,4.228508795200519
ctrpv2,4,KX2-391,residualized,4.351875639005782,3.9718977247828944,9.487379176674082
ctrpv2,4,KX2-391,irm,4.37822902521461,4.0238078033254565,4.37822902521461
ctrpv2,4,Ki8751,baseline,3.7494304475572964,3.6604748230105466,3.7494304475572964
ctrpv2,4,Ki8751,marginal,3.2621630268723267,2.9050312862086702,3.2621630268723267
ctrpv2,4,Ki8751,residualized,3.9996037552488817,2.8854639716951898,8.790837118790883
ctrpv2,4,Ki8751,irm,3.256215466049577,2.8417988710792828,3.256215466049577
ctrpv2,4,Ko-143,baseline,1.1569986500583067,1.1509341627372878,1.1569986500583067
ctrpv2,4,Ko-143,marginal,1.4323696220267397,1.2659332486793553,1.4323696220267397
ctrpv2,4,Ko-143,residualized,1.0869984851971104,0.8457670557085635,14.708809789169992
ctrpv2,4,Ko-143,irm,2.1024241019968715,1.3694843998319304,2.1024241019968715
ctrpv2,4,L-685458,baseline,0.9225663561437986,0.9080949935111907,0.9225663561437986
ctrpv2,4,L-685458,marginal,1.5211865159157296,1.2257884922752884,1.5211865159157296
ctrpv2,4,L-685458,residualized,0.9476632513144622,0.6660749485361542,12.305949452264583
ctrpv2,4,L-685458,irm,2.017286267479155,0.9578018631876772,2.017286267479155
ctrpv2,4,LE-135,baseline,0.956993004228559,0.9538638543540156,0.956993004228559
ctrpv2,4,LE-135,marginal,1.3562318750353084,1.2858402290779587,1.3562318750353084
ctrpv2,4,LE-135,residualized,1.0155927488264116,0.9140332080076673,11.383169774048422
ctrpv2,4,LE-135,irm,1.8019572099884418,1.3680829460527666,1.8019572099884418
ctrpv2,4,LRRK2-IN-1,baseline,0.8677920928275079,0.867211225900872,0.8677920928275079
ctrpv2,4,LRRK2-IN-1,marginal,1.0078092406454187,0.9735082931155573,1.0078092406454187
ctrpv2,4,LRRK2-IN-1,residualized,0.8372644235059046,0.7576318562202075,8.74888665041061
ctrpv2,4,LRRK2-IN-1,irm,1.2430239617110128,0.9771051337787475,1.2430239617110128
ctrpv2,4,LY-2183240,baseline,0.9406621841060078,0.9397076606043789,0.9406621841060078
ctrpv2,4,LY-2183240,marginal,0.8079008159857879,0.7650867969776612,0.8079008159857879
ctrpv2,4,LY-2183240,residualized,0.7764533095797957,0.7170036787968507,2.618994882678227
ctrpv2,4,LY-2183240,irm,1.1908991568413474,0.8656105036192411,1.1908991568413474
ctrpv2,4,Lapatinib,baseline,1.3998394191463757,1.3948321945176043,1.3998394191463757
ctrpv2,4,Lapatinib,marginal,1.3886276954470733,1.3166849120946074,1.3886276954470733
ctrpv2,4,Lapatinib,residualized,1.3925476692841323,1.2083741702819881,4.84956082223002
ctrpv2,4,Lapatinib,irm,1.6620930728351708,1.3922445217333008,1.6620930728351708
ctrpv2,4,Linifanib,baseline,0.7352492757145794,0.7345495726019473,0.7352492757145794
ctrpv2,4,Linifanib,marginal,0.7576512869206807,0.723907101525393,0.7576512869206807
ctrpv2,4,Linifanib,residualized,0.6632173984657691,0.6198656055989372,5.595338107857066
ctrpv2,4,Linifanib,irm,1.04483401737707,0.861290419727571,1.04483401737707
ctrpv2,4,Linsitinib,baseline,1.2801515812936566,1.2783137223053904,1.2801515812936566
ctrpv2,4,Linsitinib,marginal,1.196845908488335,1.14297470816672,1.196845908488335
ctrpv2,4,Linsitinib,residualized,1.092394617312132,0.9995155314821619,12.26599438103048
ctrpv2,4,Linsitinib,irm,1.611165084299951,1.2793310558150839,1.611165084299951
ctrpv2,4,MG-132,baseline,0.3867086224978463,0.38490265106115074,0.3867086224978463
ctrpv2,4,MG-132,marginal,0.37717764797375347,0.34937315632955257,0.37717764797375347
ctrpv2,4,MG-132,residualized,0.4072890749242062,0.34712763566542515,0.7473467861806612
ctrpv2,4,MG-132,irm,0.4882239329297223,0.35332858423975144,0.4882239329297223
ctrpv2,4,MGCD-265,baseline,1.2281083293381052,1.2273007112079721,1.2281083293381052
ctrpv2,4,MGCD-265,marginal,1.4160659007292413,1.3411926955274798,1.4160659007292413
ctrpv2,4,MGCD-265,residualized,1.2062804426631237,1.1143359187785378,10.153398751226925
ctrpv2,4,MGCD-265,irm,1.5496504547092957,1.3401856448312617,1.5496504547092957
ctrpv2,4,MI-2,baseline,0.9786197626664429,0.9733154291982129,0.9786197626664429
ctrpv2,4,MI-2,marginal,2.038363799150277,1.7706071892919608,2.038363799150277
ctrpv2,4,MI-2,residualized,0.9617398593399231,0.6870163665837666,16.334856349146
ctrpv2,4,MI-2,irm,2.2409647271640667,1.3780746085544653,2.2409647271640667
ctrpv2,4,MIRA-1,baseline,0.6309898174606599,0.6239232665007673,0.6309898174606599
ctrpv2,4,MIRA-1,marginal,0.9168764126703834,0.8298016459608999,0.9168764126703834
ctrpv2,4,MIRA-1,residualized,0.5557414888958149,0.4523576979210545,10.242255386844782
ctrpv2,4,MIRA-1,irm,1.2702250036965574,0.8093992039674666,1.2702250036965574
ctrpv2,4,MK-1775,baseline,1.8334177772661362,1.8324887286120808,1.8334177772661362
ctrpv2,4,MK-1775,marginal,1.7555235548350734,1.7052995315492248,1.7555235548350734
ctrpv2,4,MK-1775,residualized,1.8677772413109694,1.7170588600777332,2.187807540799895
ctrpv2,4,MK-1775,irm,2.035535233284725,1.728061076321264,2.035535233284725
ctrpv2,4,MK-2206,baseline,1.1813314865399285,1.1809338462573122,1.1813314865399285
ctrpv2,4,MK-2206,marginal,1.1929120228966392,1.1374586166024698,1.1929120228966392
ctrpv2,4,MK-2206,residualized,1.1106830400854535,1.041903514080427,6.429153059655683
ctrpv2,4,MK-2206,irm,1.5122079650965892,1.3345453657521322,1.5122079650965892
ctrpv2,4,ML-031,baseline,0.853314132609369,0.8524312933963771,0.853314132609369
ctrpv2,4,ML-031,marginal,1.4886861010479564,1.2773181006252452,1.4886861010479564
ctrpv2,4,ML-031,residualized,0.8023595344444474,0.7007580862396456,30.584435463190875
ctrpv2,4,ML-031,irm,1.9024222256254382,1.5491829265522004,1.9024222256254382
ctrpv2,4,ML006,baseline,1.2375470805321291,1.2265632816147942,1.2375470805321291
ctrpv2,4,ML006,marginal,3.2833767841186074,2.0717072850357123,3.2833767841186074
ctrpv2,4,ML006,residualized,1.1919411397988957,0.9476229147666276,28.17105596253893
ctrpv2,4,ML006,irm,3.996897809309026,1.8960109777587244,3.996897809309026
ctrpv2,4,ML029,baseline,0.08947635858829106,0.08938909007060372,0.08947635858829106
ctrpv2,4,ML029,marginal,0.2553125117227242,0.2119448331359974,0.2553125117227242
ctrpv2,4,ML029,residualized,0.09972072004282284,0.09457940846142678,9.081503467499358
ctrpv2,4,ML029,irm,0.41162620830156016,0.30803857948372393,0.41162620830156016
ctrpv2,4,ML050,baseline,0.43395324090895127,0.4329470899309158,0.43395324090895127
ctrpv2,4,ML050,marginal,0.8163600336619035,0.7316982891668751,0.8163600336619035
