dataset,seed,item,method,n_cells,n_tissues,pearson,wt_pearson,wt_pearson_recon
depmap,3,TIMM10,baseline,1076,29,0.20022992815885077,-0.2649469361147228,-0.2649469361147228
depmap,3,TIMM10,marginal,1076,29,0.25633210409510804,0.18715399843780625,0.18715399843780625
depmap,3,TIMM10,residualized,1076,29,0.28845737356967505,0.222369480532017,0.16246731714740809
depmap,3,TIMM10,irm,1076,29,0.18559454698348915,0.12288023842148386,0.12288023842148386
depmap,3,TINF2,baseline,1076,29,0.1855606965925446,-0.25290634198608886,-0.25290634198608886
depmap,3,TINF2,marginal,1076,29,0.20469511611799598,0.13770587115817254,0.13770587115817254
depmap,3,TINF2,residualized,1076,29,0.2716883758098091,0.2037579607272273,0.1512682790988632
depmap,3,TINF2,irm,1076,29,0.1151840656992946,0.11024708965390362,0.11024708965390362
depmap,3,TOP2A,baseline,1076,29,0.16865033399915036,-0.26532597589084095,-0.26532597589084095
depmap,3,TOP2A,marginal,1076,29,0.16293271172706136,0.1195756034518258,0.1195756034518258
depmap,3,TOP2A,residualized,1076,29,0.26346724805275595,0.20581014344097665,0.14864025861704402
depmap,3,TOP2A,irm,1076,29,0.14354043932720645,0.10934962099778922,0.10934962099778922
depmap,3,TP53,baseline,1076,29,0.4061370931593001,-0.26933974452178605,-0.26933974452178605
depmap,3,TP53,marginal,1076,29,0.7044173022177321,0.6127969840572176,0.6127969840572176
depmap,3,TP53,residualized,1076,29,0.6593694843346104,0.569037120556564,0.5307229032790179
depmap,3,TP53,irm,1076,29,0.5295433348613223,0.41780966762059235,0.41780966762059235
depmap,3,TRPM7,baseline,1076,29,0.4576302531400792,-0.2721629619997828,-0.2721629619997828
depmap,3,TRPM7,marginal,1076,29,0.47503054217558566,0.2521364627863222,0.2521364627863222
depmap,3,TRPM7,residualized,1076,29,0.49730203315662436,0.25392407529575217,0.2082759444584746
depmap,3,TRPM7,irm,1076,29,0.3847502041888577,0.18445676325134758,0.18445676325134758
depmap,3,TSC2,baseline,1076,29,0.3251630009916648,-0.2666677733929269,-0.2666677733929269
depmap,3,TSC2,marginal,1076,29,0.37071599110205866,0.1856519040652911,0.1856519040652911
depmap,3,TSC2,residualized,1076,29,0.3528661203912838,0.17919100161096177,0.10949239059948268
depmap,3,TSC2,irm,1076,29,0.2828322085380724,0.13914741556274543,0.13914741556274543
depmap,3,TUBB,baseline,1076,29,0.36443496310779566,-0.25424375338003946,-0.25424375338003946
depmap,3,TUBB,marginal,1076,29,0.42925060047889857,0.2956486614721944,0.2956486614721944
depmap,3,TUBB,residualized,1076,29,0.45848269295572214,0.3003648204007473,0.2613951621946257
depmap,3,TUBB,irm,1076,29,0.32429260129475235,0.1901210561415727,0.1901210561415727
depmap,3,TXNL4A,baseline,1076,29,0.052854382036173944,-0.2596022364001071,-0.2596022364001071
depmap,3,TXNL4A,marginal,1076,29,0.02953206489878552,0.012440215036984215,0.012440215036984215
